pert_id,canonical_smiles,inchi_key,pert_iname,pert_type
BRD-K32536677,CLC1CCC(CL)C(C1)C2CCC(/C=C(\C#N)/C(=O)NC3CCCC4NCCCC34)O2,SVENPFFEMUOOGK-SDNWHVSQSA-N,AGK-2,trt_cp
BRD-K84698278,COC1CCC2CCCC(CCNC(C)=O)C2C1,YJYPHIXNFHFHND-UHFFFAOYSA-N,agomelatine,trt_cp
BRD-K91495480,CCCCCCCCCCCCCCCCCCCCCC(O)=O,UKMSUNONTOPOIO-UHFFFAOYSA-N,AGP-103,trt_cp
BRD-A67373739,NC(=O)C1NCN(C2OC(COP(O)(O)=O)C(O)C2O)C1N,NOTGFIUVDGNKRI-UHFFFAOYSA-N,AICA-ribonucleotide,trt_cp
BRD-K04887706,O=C1[NH]C2CCCCC2N1C3CCN(CC4CCC(CC4)C5NC6CC7[NH]CNC7CC6NC5C8CCCCC8)CC3,BIWGYFZAEWGBAL-UHFFFAOYSA-N,AKT-inhibitor-1-2,trt_cp
BRD-K96029467,CC1SC[N+](CC(=O)C2CCCCC2)C1C,LYLFQLCLUXOFOL-UHFFFAOYSA-N,alagebrium,trt_cp
BRD-A14966924,CC(N)C(=O)OC(C)(C)CC1CCC(CL)CC1,FZSPJBYOKQPKCD-UHFFFAOYSA-N,alaproclate,trt_cp
BRD-K79131256,CCCSC1CCC2[NH]C(NC(=O)OC)NC2C1,HXHWSAZORRCQMX-UHFFFAOYSA-N,albendazole,trt_cp
BRD-K11267252,CCC1CC2C(=O)C3C([NH]C4CC(CCC34)C#N)C(C)(C)C2CC1N1CCC(CC1)N1CCOCC1,KDGFLJKFZUIJMX-UHFFFAOYSA-N,alectinib,trt_cp
BRD-K75295174,COC1CC(NC2NCC3CN=C(C4CC(CL)CCC4-C3N2)C2C(F)CCCC2OC)CCC1C(O)=O,ZLHFILGSQDJULK-UHFFFAOYSA-N,alisertib,trt_cp
BRD-K30020243,COCCCOC1CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)CCC1OC,UXOWGYHJODZGMF-QORCZRPOSA-N,aliskiren,trt_cp
BRD-A03061970,COC1CC2[NH]NNC2CC1C(=O)NCC1CCCN1CC=C,KSEYRUGYKHXGFW-UHFFFAOYSA-N,alizapride,trt_cp
BRD-K86307448,O=C1[NH]CNC2[NH]NCC12,OFCNXPDARWKPPY-UHFFFAOYSA-N,allopurinol,trt_cp
BRD-K82677201,FC1CCC(CC1)C(N1CCN(CC1)C1NC(NCC=C)NC(NCC=C)N1)C1CCC(F)CC1,OBDOVFRMEYHSQB-UHFFFAOYSA-N,almitrine,trt_cp
BRD-K84810405,CNC(=O)[C@H](N1CCC2CC(OC)C(OC)CC2[C@@H]1CCC1CCC(CC1)C(F)(F)F)C1CCCCC1,DKMACHNQISHMDN-RPLLCQBOSA-N,almorexant,trt_cp
BRD-K54997624,CC1NC(NC(=O)N2CCC[C@H]2C(N)=O)SC1-C1CCNC(C1)C(C)(C)C(F)(F)F,STUWGJZDJHPWGZ-LBPRGKRZSA-N,alpelisib,trt_cp
BRD-K73691377,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(O)=O,GMVPRGQOIOIIMI-AIJKCLAYSA-N,alprostadil,trt_cp
BRD-K00610438,FC1CCC(CC1)C(=O)C1CCN(CCN2C(=S)[NH]C3CCCCC3C2=O)CC1,SMYALUSCZJXWHG-UHFFFAOYSA-N,altanserin,trt_cp
BRD-K14619660,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(O)CC=C,VWAUPFMBXBWEQY-IVAOSVALSA-N,altrenogest,trt_cp
BRD-K67043667,CN(C)C1NC(NC(N1)N(C)C)N(C)C,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,altretamine,trt_cp
BRD-K23499943,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C/C=C\[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O,KUFRQPKVAWMTJO-TYVPZVKISA-N,alvespimycin,trt_cp
BRD-K07857022,C[C@H]1CN(C[C@H](CC2CCCCC2)C(=O)NCC(O)=O)CC[C@@]1(C)C1CCCC(O)C1,UPNUIXSCZBYVBB-JVFUWBCBSA-N,alvimopan,trt_cp
BRD-K87909389,CN1CC[C@@H]([C@H](O)C1)C1C(O)CC(O)C2C1OC(CC2=O)-C1CCCCC1CL,BIIVYFLTOXDAOV-YVEFUNNKSA-N,alvocidib,trt_cp
BRD-K68191783,CC1CN(CN1)-C1CC(CC(C1)C(F)(F)F)C(=O)NC1CCC(C)C(NC(=O)C2CCNO2)C1,IYUFHBXMTTXZBE-UHFFFAOYSA-N,ALW-II-38-3,trt_cp
BRD-K22096725,CC1CCC(CC1NC1CNCC(C1)C(N)=O)C(=O)NC1CCCC(C1)C(F)(F)F,SAAYRHKJHDIDPH-UHFFFAOYSA-N,ALW-II-49-7,trt_cp
BRD-K53979406,CN(CC[C@@H](OC1CCC(CC1)-C1CCCCC1)C1CCC(F)CC1)CC(O)=O,FDORQEIHOKEJNX-HSZRJFAPSA-N,ALX-5407,trt_cp
BRD-K59013864,OC1C(I)CC(I)CC1I,VAPDZNUFNKUROY-UHFFFAOYSA-N,AM-24,trt_cp
BRD-K70330367,NC12CC3CC(CC(C3)C1)C2,DKNWSYNQZKUICI-UHFFFAOYSA-N,amantadine,trt_cp
BRD-K41185545,COC([C@H](OC1NC(C)CC(C)N1)C(O)=O)(C1CCCCC1)C1CCCCC1,OUJTZYPIHDYQMC-LJQANCHMSA-N,ambrisentan,trt_cp
BRD-K56558538,NC1C(BR)CC(BR)CC1CN[C@H]1CC[C@H](O)CC1,JBDGDEWWOUBZPM-XYPYZODXSA-N,ambroxol,trt_cp
BRD-A36010170,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1CC1C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,ILKJAFIWWBXGDU-ZYDCGBIBSA-N,amcinonide,trt_cp
BRD-K42948882,NCCCCN(CC1NC2CCCCC2[NH]1)[C@H]1CCCC2CCCNC12,WVLHHLRVNDMIAR-IBGZPJMESA-N,AMD-11070,trt_cp
BRD-A37288617,CCN(CC)C(C)C(=O)C1CCCCC1,XXEPPPIWZFICOJ-UHFFFAOYSA-N,amfepramone,trt_cp
BRD-K32285926,COC1CCC2C(OCC3NNC4CCC(NN34)-C3CCCCC3)CCNC2C1,HEAIZQNMNCHNFD-UHFFFAOYSA-N,AMG-208,trt_cp
BRD-K64925568,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)C1CCCC(CL)C1)C1CCC(CL)CC1,DRLCSJFKKILATL-YWCVFVGNSA-N,AMG-232,trt_cp
BRD-K90239174,CCOC1CCC(CC1)-N1C(NC2NCCCC2C1=O)[C@@H](C)N(CC1CCCNC1)C(=O)CC1CCC(OC(F)(F)F)CC1,WQTKNBPCJKRYPA-OAQYLSRUSA-N,AMG-487,trt_cp
BRD-K34185671,CC(=O)NC1NC2C(OC3CC(NCN3)-C3CCC(CC3)C(F)(F)F)CCCC2S1,YUTIXVXZQIQWGY-UHFFFAOYSA-N,AMG-517,trt_cp
BRD-K43802723,CC#C[C@@H](CC(O)=O)C1CCC(OCC2CCCC(C2)-C2CCC(CC2)C(F)(F)F)CC1,ZOPNBMMVVZRSGH-NRFANRHFSA-N,AMG-837,trt_cp
BRD-A30051119,NCC[C@@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)C1O,LKCWBDHBTVXHDL-CJMFXXNZSA-N,amikacin,trt_cp
BRD-K97181089,NC(=N)NC(=O)C1NC(CL)C(N)NC1N,XSDQTOBWRPYKKA-UHFFFAOYSA-N,amiloride,trt_cp
BRD-K24219278,OC(=O)CCCCCCNC1C2CCCCC2CCC2CCCCC12,ONNOFKFOZAJDHT-UHFFFAOYSA-N,amineptine,trt_cp
BRD-K64931368,NCCCCCC(O)=O,SLXKOJJOQWFEFD-UHFFFAOYSA-N,aminocaproic-acid,trt_cp
BRD-A25234499,CCC1(CCC(=O)NC1=O)C1CCC(N)CC1,ROBVIMPUHSLWNV-UHFFFAOYSA-N,aminoglutethimide,trt_cp
BRD-K25114078,NNC(N)=N,HAMNKKUPIHEESI-UHFFFAOYSA-N,aminoguanidine,trt_cp
BRD-K80267133,NC1CCC(C(O)=O)C(O)C1,WUBBRNOQWQTFEX-UHFFFAOYSA-N,aminosalicylic-acid,trt_cp
BRD-K17561142,CCCCC1OC2CCCCC2C1C(=O)C1CC(I)C(OCCN(CC)CC)C(I)C1,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,amiodarone,trt_cp
BRD-K97643133,CN(C)CCCO[C@H]1[C@H](O[C@@H]2OC(C)(C)O[C@H]12)[C@H](O)CO,YXBQLONCIPUQKO-UJPOAAIJSA-N,amiprilose,trt_cp
BRD-A68942014,CLC1CCC(CC1CL)C12CC1CNC2,BSMNRYCSBFHEMQ-UHFFFAOYSA-N,amitifadine,trt_cp
BRD-K53737926,CN(C)CCC=C1C2CCCCC2CCC2CCCCC12,KRMDCWKBEZIMAB-UHFFFAOYSA-N,amitriptyline,trt_cp
BRD-K29530284,CC(C)C1CCC2OC3NC(N)C(CC3C(=O)C2C1)C(O)=O,SGRYPYWGNKJSDL-UHFFFAOYSA-N,amlexanox,trt_cp
BRD-A22032524,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2CL)C(=O)OC)C)COCCN,HTIQEAQVCYTUBX-UHFFFAOYSA-N,amlodipine,trt_cp
BRD-K15318383,C[C@]12CC[C@@](C)(C[C@H]1C1=CC(=O)[C@@H]3[C@]4(C)CC[C@H](O[C@H]5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)C(O)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(O)=O,LPLVUJXQOOQHMX-FKSWRZCVSA-N,ammonium-glycyrrhizinate,trt_cp
BRD-K91290917,CCN(CC)CC1CC(NC2CCNC3CC(CL)CCC23)CCC1O,OVCDSSHSILBFBN-UHFFFAOYSA-N,amodiaquine,trt_cp
BRD-K56334280,CN(C)CCN1C(=O)C2CCCC3CC(N)CC(C1=O)C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,amonafide,trt_cp
BRD-K02265150,CLC1CCC2OC3CCCCC3N=C(N3CCNCC3)C2C1,QWGDMFLQWFTERH-UHFFFAOYSA-N,amoxapine,trt_cp
BRD-K24771047,O=C(N1CCCCC1)C1CCC2NCCNC2C1,ANDGGVOPIJEHOF-UHFFFAOYSA-N,ampalex,trt_cp
BRD-K45924332,NC1CC(C[NH]C1=O)-C1CCNCC1,RNLQIBCLLYYYFJ-UHFFFAOYSA-N,amrinone,trt_cp
BRD-K68346641,COC1CC(NS(C)(=O)=O)CCC1NC1C2CCCCC2NC2CCCCC12,XCPGHVQEEXUHNC-UHFFFAOYSA-N,amsacrine,trt_cp
BRD-K70924353,COC1CCCCC1OC(=O)CNC(=O)CC1CCC(C(=O)C2CCC(C)CC2)N1C,CWJNMKKMGIAGDK-UHFFFAOYSA-N,amtolmetin-guacil,trt_cp
BRD-K66538826,S=C(NCC1CCC2OCOC2C1)N1CCN(CC1)C1NCNC2C3CCCCC3OC12,FOFDIMHVKGYHRU-UHFFFAOYSA-N,amuvatinib,trt_cp
BRD-K66989831,CCCCCCCCCCCCCCCC1CCCC(O)C1C(O)=O,ADFWQBGTDJIESE-UHFFFAOYSA-N,anacardic-acid,trt_cp
BRD-K44366189,COC1CC(F)C(CC1-C1CCC(CC1CN1[C@H](C)[C@H](OC1=O)C1CC(CC(C1)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(C)C,MZZLGJHLQGUVPN-WZQKQDCOSA-N,anacetrapib,trt_cp
BRD-K62200014,CLC1CCC2N=C3NC(=O)CN3CC2C1CL,OTBXOEAOVRKTNQ-UHFFFAOYSA-N,anagrelide,trt_cp
BRD-K01174345,CN(C)N(C)C(=O)[C@@]1(CC2CCCCC2)CCCN(C1)C(=O)[C@@H](CC1C[NH]C2CCCCC12)NC(=O)C(C)(C)N,VQPFSIRUEPQQPP-MXBOTTGLSA-N,anamorelin,trt_cp
BRD-K42352790,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO,LGEQQWMQCRIYKG-DOFZRALJSA-N,anandamide,trt_cp
BRD-K52172416,CC(C)(C#N)C1CC(CN2CNCN2)CC(C1)C(C)(C)C#N,YBBLVLTVTVSKRW-UHFFFAOYSA-N,anastrozole,trt_cp
BRD-K82164249,CC(=O)NC1CCC(OC[C@](C)(O)C(=O)NC2CCC(C(C2)C(F)(F)F)[N+]([O-])=O)CC1,YVXVTLGIDOACBJ-SFHVURJKSA-N,andarine,trt_cp
BRD-A63236097,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@@H](C\C=C3/C(O)COC3=O)C(=C)CC[C@H]12,BOJKULTULYSRAS-JDTKQMTISA-N,andrographolide,trt_cp
BRD-A53566267,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C,YUWPMEXLKGOSBF-SQIVGGFUSA-N,anecortave-acetate,trt_cp
BRD-A75305484,CCCCCOC1CCC(CC1)-C1CCC(CC1)-C1CCC(CC1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)C1CCC(O)CC1)C(C)O,JHVAMHSQVVQIOT-UHFFFAOYSA-N,anidulafungin,trt_cp
BRD-K88611939,COC1CCC(CC1)C(=O)N1CCCC1=O,ZXNRTKGTQJPIJK-UHFFFAOYSA-N,aniracetam,trt_cp
BRD-A29623586,CN1C2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)C1CCCCC1,WTQYWNWRJNXDEG-GZPFGDLZSA-N,anisodamine,trt_cp
BRD-K56032964,COC1CC(CCC1NC1NCC(CL)C(NC2CCCCC2P(C)(C)=O)N1)N1CCC(CC1)N(C)C,OVDSPTSBIQCAIN-UHFFFAOYSA-N,AP-26113,trt_cp
BRD-K20001883,COC1CC(OC)C2C(C1)[NH]C(NC2=O)-C1CC(C)C(OCCO)C(C)C1,NETXMUIMUZJUTB-UHFFFAOYSA-N,apabetalone,trt_cp
BRD-K28115081,CC1NNC2CN=C(C3CC(CCC(=O)N4CCOCC4)SC3-N12)C1CCCCC1CL,JGPJQFOROWSRRS-UHFFFAOYSA-N,apafant,trt_cp
BRD-K10859802,CC(C)OC(=O)N1CCC(CC1)OC1NCNC2N(NCC12)-C1CCC(CC1F)S(C)(=O)=O,XTRUQJBVQBUKSQ-UHFFFAOYSA-N,APD-668,trt_cp
BRD-K85140930,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@]21CC[C@]3(O)CO,NOFOAYPPHIUXJR-APNQCZIXSA-N,aphidicolin,trt_cp
BRD-K26325692,CC1CC(OCCN2CCOCC2)NN1-C1CCC2CCCCC2C1,DGPGXHRHNRYVDH-UHFFFAOYSA-N,API-001,trt_cp
BRD-K67121414,COC1CCC(CC1)-N1NC(C(N)=O)C2CCN(C(=O)C12)C1CCC(CC1)N1CCCCC1=O,QNZCBYKSOIHPEH-UHFFFAOYSA-N,apixaban,trt_cp
BRD-K64990520,COC1CC(CCC1O)C(C)=O,DFYRUELUNQRZTB-UHFFFAOYSA-N,apocynin,trt_cp
BRD-K93208532,CCOC1CC(CCC1OC)[C@@H](CS(C)(=O)=O)N1C(=O)C2CCCC(NC(C)=O)C2C1=O,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,apremilast,trt_cp
BRD-K65170927,C[C@H](O[C@H]1OCCN(CC2N[NH]C(=O)[NH]2)[C@H]1C1CCC(F)CC1)C1CC(CC(C1)C(F)(F)F)C(F)(F)F,ATALOFNDEOCMKK-OCCQLPPTSA-N,aprepitant,trt_cp
BRD-K67860401,COC1CCC(CNC(=O)NC2NCC(S2)[N+]([O-])=O)CC1,YAEMHJKFIIIULI-UHFFFAOYSA-N,AR-A014418,trt_cp
BRD-K08037784,OC[C@H]1O[C@@H](OC2CCC(O)CC2)[C@H](O)[C@@H](O)[C@@H]1O,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,arbutin,trt_cp
BRD-A10012892,C[C@@H]1CCN([C@@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1CCCC2CC(C)CNC12,KXNPVXPOPUZYGB-YZYLHUITSA-N,argatroban,trt_cp
BRD-K62734952,CC1=CC[C@]23O[C@@]2(C)CC[C@@H]2[C@H](OC(=O)C2=C)[C@@H]13,UVJYAKBJSGRTHA-CUZKYEQNSA-N,arglabin,trt_cp
BRD-K70358946,CLC1CCCC(N2CCN(CCCCOC3CCC4CCC(=O)NC4C3)CC2)C1CL,CEUORZQYGODEFX-UHFFFAOYSA-N,aripiprazole,trt_cp
BRD-K87278688,NC(=O)C[S@@](=O)C(C1CCCCC1)C1CCCCC1,YFGHCGITMMYXAQ-LJQANCHMSA-N,armodafinil,trt_cp
BRD-K91308639,CNC(=O)C1CCC(CC1F)N1C(=S)N(C(=O)C11CCC1)C1CNC(C#N)C(C1)C(F)(F)F,HJBWBFZLDZWPHF-UHFFFAOYSA-N,ARN-509,trt_cp
BRD-K33852358,CCCN1C(=O)N(-C2CCC(CL)CC2)C2[NH]CNC2C1=O,GVTLDPJNRVMCAL-UHFFFAOYSA-N,arofylline,trt_cp
BRD-K73395020,CC(C)ON([C@H](C(C)C)C(=O)NO)S(=O)(=O)C1CCC(CC1)C2CCCCC2,DGZZVIWCMGVHGV-LJQANCHMSA-N,ARP-101,trt_cp
BRD-K46386702,C[C@@H]1COC(NC2CCC3NCNC(NC4CCC(OCC5NCCS5)C(CL)C4)C3C2)=N1,UWXSAYUXVSFDBQ-CYBMUJFWSA-N,ARRY-334543,trt_cp
