inchi_key,level1,level2,level3,level4,level5,name,smiles
XBJWOGLKABXFJE-UHFFFAOYSA-N,,,,,,,CCOC(=O)N1CSCC1C(O)=O
ZDZOTLJHXYCWBA-JXHJHTFNSA-N,,,,,,,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)C2CCCCC2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C3CCCCC3)C(C)=C([C@@H](O)C1=O)C2(C)C
ZYRLHJIMTROTBO-UHFFFAOYSA-N,,,,,,CPI-613,OC(=O)CCCCC(CCSCC1CCCCC1)SCC1CCCCC1
IECPWNUMDGFDKC-FRVBXGIOSA-N,,,,,,,C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)C2[C@H](O)C[C@@H]2[C@]1(C)C[C@H](OC(C)=O)\C2=C(/CCC=C(C)C)C(O)=O
AQNDDEOPVVGCPG-UHFFFAOYSA-N,C,C07,C07A,C07AB,C07AB09,Esmolol,COC(=O)CCC1CCC(OCC(O)CNC(C)C)CC1
SGUAFYQXFOLMHL-UHFFFAOYSA-N,C,C07,C07B,C07BG,C07BG01,Labetalol,CC(CCC1CCCCC1)NCC(O)C1CCC(O)C(C1)C(N)=O
UUOJIACWOAYWEZ-UHFFFAOYSA-N,C,C07,C07A,C07AA,C07AA17,Bopindolol,CC1CC2C(OCC(CNC(C)(C)C)OC(=O)C3CCCCC3)CCCC2[NH]1
XDBMBHVYXPBOPL-UHFFFAOYSA-N,,,,,,,CC(C)C1CCC2SC3CC(F)CCC3CC(N3CCN(CCO)CC3)C2C1
HKEAFJYKMMKDOR-UHFFFAOYSA-N,,,,,,,OCC1OC(C(O)C(O)C1O)C1C(O)CCC2C1OCC(-C1CCC(O)CC1)C2=O
PAFKTGFSEFKSQG-BLYLLKCRSA-N,,,,,,,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CC=C2N1CNC2CCCCC12
ODUOJXZPIYUATO-UHFFFAOYSA-N,A,A07,A07X,A07XA,A07XA04,Racecadotril,CC(=O)SCC(CC1CCCCC1)C(=O)NCC(=O)OCC1CCCCC1
VXVNYCRICCVPTD-MULYGRJNSA-N,,,,,,,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C2C(=O)C2C(O)CCCC12
IMONTRJLAWHYGT-FJMAIUEKSA-N,,,,,,,CC(=O)O[C@]1(CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C)C#C
DJBNUMBKLMJRSA-UHFFFAOYSA-N,C,C01,C01B,C01BC,C01BC04,Flecainide,FC(F)(F)COC1CCC(OCC(F)(F)F)C(C1)C(=O)NCC1CCCCN1
SGTNSNPWRIOYBX-UHFFFAOYSA-N,C,C09,C09B,C09BB,C09BB10,Verapamil,COC1CCC(CCN(C)CCCC(C#N)(C(C)C)C2CCC(OC)C(OC)C2)CC1OC
KXNPVXPOPUZYGB-YZYLHUITSA-N,,,,,,,C[C@@H]1CCN([C@@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1CCCC2CC(C)CNC12
MYXACKZCYFKMTE-JETRDCLMSA-N,,,,,,,CCC[C@@]1(CCC2CCCCC2)CC(=O)C([C@H](CC)C2CCCC(NS(=O)(=O)C3CCC(CN3)C(F)(F)F)C2)C(=O)O1
AQHHHDLHHXJYJD-UHFFFAOYSA-N,C,C07,C07F,C07FX,C07FX01,Propranolol,CC(C)NCC(O)COC1CCCC2CCCCC12
OLIIUAHHAZEXEX-UHFFFAOYSA-N,,,,,,,CC1=C(C(CC(=O)N1)C1CCC(CC1)C(F)(F)F)C(=O)NC1CC2CN[NH]C2CC1F
UXABARREKCJULM-UHFFFAOYSA-N,,,,,,,CCN1CCNC1CC1COC2CCCCC2O1
MFWNKCLOYSRHCJ-UHFFFAOYSA-N,,,,,,,CN1C2CCCC1CC(C2)NC(=O)C1NN(C)C2CCCCC12
OGHNVEJMJSYVRP-UHFFFAOYSA-N,C,C07,C07A,C07AG,C07AG02,Carvedilol,COC1CCCCC1OCCNCC(O)COC1CCCC2[NH]C3CCCCC3C12
TUZYXOIXSAXUGO-UHFFFAOYSA-N,,,,,,,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
KUVIULQEHSCUHY-UHFFFAOYSA-N,,,,,,,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(CL)C(O)CC12C
DIWRORZWFLOCLC-UHFFFAOYSA-N,N,N05,N05B,N05BA,N05BA56,Lorazepam,OC1N=C(C2CCCCC2CL)C2CC(CL)CCC2NC1=O
HVFLCNVBZFFHBT-FSJBWODESA-O,,,,,,,CO\N=C(\C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)C1CSC(N)N1
BDUHCSBCVGXTJM-UHFFFAOYSA-N,,,,,,,COC1CCC(C2=NC(C(N2C(=O)N2CCNC(=O)C2)C2CCC(CL)CC2)C2CCC(CL)CC2)C(OC(C)C)C1
RHGKLRLOHDJJDR-UHFFFAOYSA-N,,,,,,,NC(CCCNC(N)=O)C(O)=O
DCSUBABJRXZOMT-UHFFFAOYSA-N,,,,,,,COC1CN(CCCOC2CCC(F)CC2)CCC1NC(=O)C1CC(CL)C(N)CC1OC
UVSMNLNDYGZFPF-UHFFFAOYSA-N,L,L04,L04A,L04AX,L04AX06,Pomalidomide,NC1CCCC2C(=O)N(C3CCC(=O)NC3=O)C(=O)C12
ZHXNIYGJAOPMSO-UHFFFAOYSA-N,,,,,,,CC1=C(C=C(C(=C1)OC)C(=O)N2CCN(CC2)C(=O)C)SC3=CN=C(S3)NC(=O)C4=CC=C(C=C4)CNC(C)C(C)(C)C
GXPHKUHSUJUWKP-UHFFFAOYSA-N,A,A10,A10B,A10BG,A10BG01,Troglitazone,CC1C(C)C2OC(C)(COC3CCC(CC4SC(=O)NC4=O)CC3)CCC2C(C)C1O
FAOZLTXFLGPHNG-KXWDGVDDSA-N,,,,,,,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12
RUZYUOTYCVRMRZ-UHFFFAOYSA-N,C,C02,C02C,C02CA,C02CA04,Doxazosin,COC1CC2NC(NC(N)C2CC1OC)N1CCN(CC1)C(=O)C1COC2CCCCC2O1
QNDVLZJODHBUFM-FYTBHKRBSA-N,,,,,,,C[C@@H](CC(O)[C@H]1OC2CC[C@@]3(CCC(O3)\C=C\[C@@H](C)[C@@H]3CC(C)=C[C@@]4(O[C@H](C[C@@](C)(O)C(O)=O)CCC4O)O3)OC2[C@H](O)C1=C)C1O[C@@]2(CCCCO2)CC[C@H]1C
HPBNRIOWIXYZFK-UHFFFAOYSA-N,,,,,,Guanadrel,NC(=N)NCC1COC2(CCCCC2)O1
FKSFKBQGSFSOSM-UHFFFAOYSA-N,,,,,,,CCC(C)N1CC(C)C2C(CC(CC12)C3CCC(NC3)N4CCNCC4)C(=O)NCC5C(C)CC(C)NC5O
IMSSROKUHAOUJS-VYJKVFMHSA-N,,,,,,,COC1CCC2C3CC[C@@]4(C)C(CC[C@@]4(O)C#C)C3CCC2C1
WWYNJERNGUHSAO-NJTPJZBZSA-N,,,,,,,CC[C@]12CCC3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
KLWUUPVJTLHYIM-UHFFFAOYSA-N,,,,,,Dofequidar,OC(COC1CCCC2NCCCC12)CN1CCN(CC1)C(=O)C(C1CCCCC1)C1CCCCC1
FZSPJBYOKQPKCD-UHFFFAOYSA-N,N,N06,N06A,N06AB,N06AB07,Alaproclate,CC(N)C(=O)OC(C)(C)CC1CCC(CL)CC1
GJJFMKBJSRMPLA-UHFFFAOYSA-N,N,N06,N06A,N06AX,N06AX17,Milnacipran,CCN(CC)C(=O)C1(CC1CN)C1CCCCC1
WJOHZNCJWYWUJD-UUTDCOIBSA-N,,,,,,,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C
ZXUYYZPJUGQHLQ-UHFFFAOYSA-N,,,,,,,OC(CCCN1CCN(CC1)C1NCC(F)CN1)C1CCC(F)CC1
ALLWOAVDORUJLA-UHFFFAOYSA-N,A,A02,A02B,A02BX,A02BX14,Rebamipide,OC(=O)C(CC1CC(=O)[NH]C2CCCCC12)NC(=O)C1CCC(CL)CC1
CJGYSWNGNKCJSB-ZBSNKJFMSA-N,,,,,,,CCCC(=O)NC1NCNC2N(CNC12)C1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1OC(=O)CCC
AYDXAULLCROVIT-UHFFFAOYSA-N,B,B01,B01A,B01AC,B01AC10,Indobufen,CCC(C(O)=O)C1CCC(CC1)N1CC2CCCCC2C1=O
AGBQKNBQESQNJD-UHFFFAOYSA-N,,,,,,,OC(=O)CCCCC1CCSS1
SWLMUYACZKCSHZ-UHFFFAOYSA-N,G,G01,G01A,G01AF,G01AF20,Butoconazole,CLC1CCC(CCC(CN2CCNC2)SC2C(CL)CCCC2CL)CC1
XNSAINXGIQZQOO-UHFFFAOYSA-N,,,,,,,NC(=O)C1CCCN1C(=O)C(CC1C[NH]CN1)NC(=O)C1CCC(=O)N1
PUXBGTOOZJQSKH-UHFFFAOYSA-N,,,,,,Carprofen,CC(C(O)=O)C1CCC2C(C1)[NH]C1CCC(CL)CC21
ANZXOIAKUNOVQU-UHFFFAOYSA-N,R,R03,R03C,R03CC,R03CC12,Bambuterol,CN(C)C(=O)OC1CC(OC(=O)N(C)C)CC(C1)C(O)CNC(C)(C)C
HEFNNWSXXWATRW-UHFFFAOYSA-N,G,G02,G02C,G02CC,G02CC01,Ibuprofen,CC(C)CC1CCC(CC1)C(C)C(O)=O
GOTYRUGSSMKFNF-UHFFFAOYSA-N,L,L04,L04A,L04AX,L04AX04,Lenalidomide,NC1CCCC2C(=O)N(CC12)C1CCC(=O)NC1=O
WLWFNJKHKGIJNW-UHFFFAOYSA-N,N,N03,N03A,N03AD,N03AD02,Phensuximide,CN1C(=O)CC(C1=O)C1CCCCC1
YOVVNQKCSKSHKT-UHFFFAOYSA-N,,,,,,,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)C(C)O
LPQZKKCYTLCDGQ-KTOWXAHTSA-N,,,,,,,C[C@]1(CN2CCNN2)C(N2C(CC2=O)S1(=O)=O)C(O)=O
PROQIPRRNZUXQM-YDGSGPMOSA-N,,,,,,,C[C@]12CCC3C(CCC4CC(O)CCC34)C1C[C@@H](O)[C@@H]2O
RPQZTTQVRYEKCR-UHFFFAOYSA-N,,,,,,,OCC1OC(C(O)C1O)N1CCCNC1=O
VOXZDWNPVJITMN-PAOLREHBSA-N,,,,,,,C[C@]12CCC3C(CCC4CC(O)CCC34)C1CC[C@@H]2O
RTKIYFITIVXBLE-WKWSCTOISA-N,,,,,,,CC(\C=C(C)\C=C\C(=O)NO)C(=O)C1CCC(CC1)N(C)C
ZSCDBOWYZJWBIY-UHFFFAOYSA-N,N,N06,N06A,N06AA,N06AA06,Trimipramine,CC(CN(C)C)CN1C2CCCCC2CCC2CCCCC12
QTQAWLPCGQOSGP-VDYWNIEOSA-N,,,,,,,COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O
CYXKNKQEMFBLER-UHFFFAOYSA-N,C,C08,C08E,C08EX,C08EX02,Perhexiline,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1
UEQUQVLFIPOEMF-UHFFFAOYSA-N,N,N06,N06A,N06AX,N06AX03,Mianserin,CN1CCN2C(C1)C1CCCCC1CC1CCCCC21
FELGMEQIXOGIFQ-UHFFFAOYSA-N,A,A04,A04A,A04AA,A04AA01,Ondansetron,CC1NCCN1CC1CCC2C(C1=O)C1CCCCC1N2C
UYFLKEIEOREOFC-KWRXGGKWSA-N,,,,,,,CLC1CCC(CC1)[C@H]1CC[C@@H](CC1)C1C(=O)C(=O)C2CCCCC2C1=O
JMPFSEBWVLAJKM-UHFFFAOYSA-N,,,,,,,CC1CC(C(C#N)C2CCC(CL)CC2)C(CL)CC1NC(=O)C1CC(I)CC(I)C1O
IMYZQPCYWPFTAG-UHFFFAOYSA-N,C,C02,C02B,C02BB,C02BB01,Mecamylamine,CNC1(C)C2CCC(C2)C1(C)C
GZENKSODFLBBHQ-IENIWFQZSA-N,,,,,,,C[C@H]1CC2C3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)C2[C@@]2(C)CCC(=O)C=C12
FFHPXOJTVQDVMO-UHFFFAOYSA-N,,,,,,,CC1OC(CC1O)N1CNC2C(N)NCNC12
METKIMKYRPQLGS-UHFFFAOYSA-N,C,C07,C07C,C07CB,C07CB53,Atenolol,CC(C)NCC(O)COC1CCC(CC(N)=O)CC1
WEQAYVWKMWHEJO-UHFFFAOYSA-N,M,M03,M03B,M03BB,M03BB02,Chlormezanone,CN1C(C2CCC(CL)CC2)S(=O)(=O)CCC1=O
WCWUXEGQKLTGDX-UHFFFAOYSA-N,,,,,,,CC(O)COC1CN2NCNC(OC3CCC4[NH]C(C)CC4C3F)C2C1C
CUHVIMMYOGQXCV-UHFFFAOYSA-N,,,,,,Medetomidine,CC(C1C[NH]CN1)C1CCCC(C)C1C
FSVJFNAIGNNGKK-UHFFFAOYSA-N,P,P02,P02B,P02BA,P02BA01,Praziquantel,O=C(C1CCCCC1)N1CC2N(CCC3CCCCC23)C(=O)C1
HTIQEAQVCYTUBX-UHFFFAOYSA-N,C,C09,C09X,C09XA,C09XA54,Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2CL)C(=O)OC)C)COCCN
XMFCOYRWYYXZMY-UHFFFAOYSA-N,,,,,,,COC1CC(CCC1-C1NC2NCCCC2[NH]1)S(C)=O
CJAVTWRYCDNHSM-UHFFFAOYSA-N,A,A10,A10B,A10BX,A10BX06,Benfluorex,CC(CC1CCCC(C1)C(F)(F)F)NCCOC(=O)C1CCCCC1
IQPSEEYGBUAQFF-UHFFFAOYSA-N,A,A02,A02B,A02BD,A02BD11,Pantoprazole,COC1CCNC(CS(=O)C2NC3CC(OC(F)F)CCC3[NH]2)C1OC
BMPDWHIDQYTSHX-UHFFFAOYSA-N,,,,,,,NC(=O)N1C2CCCCC2CC(O)C2CCCCC12
WEUCDJCFJHYFRL-UHFFFAOYSA-N,,,,,,,CN1CCCN(CC1)C(C1CCCCC1)C1CCC(CL)CC1
VHVPQPYKVGDNFY-ZPGVKDDISA-N,J,J02,J02A,J02AC,J02AC02,Itraconazole,CCC(C)N1NCN(-C2CCC(CC2)N2CCN(CC2)C2CCC(OC[C@H]3CO[C@@](CN4CNCN4)(O3)C3CCC(CL)CC3CL)CC2)C1=O
UYNVMODNBIQBMV-UHFFFAOYSA-N,C,C04,C04A,C04AX,C04AX28,Ifenprodil,CC(C(O)C1CCC(O)CC1)N1CCC(CC2CCCCC2)CC1
GSDSWSVVBLHKDQ-UHFFFAOYSA-N,J,J01,J01M,J01MA,J01MA01,Ofloxacin,CC1COC2C(N3CCN(C)CC3)C(F)CC3C2N1CC(C(O)=O)C3=O
AQKDBFWJOPNOKZ-TWPXQOCQSA-N,,,,,,,CC1C(=O)C(=O)C=C2C1=CC=C3[C@@]2(C)CCC4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O
PJVWKTKQMONHTI-UHFFFAOYSA-N,B,B01,B01A,B01AA,B01AA03,Warfarin,CC(=O)CC(C1CCCCC1)C1C(O)C2CCCCC2OC1=O
JCYNMRJCUYVDBC-UHFFFAOYSA-N,,,,,,Efatutazone,CC1CC(OC2CCC3NC(COC4CCC(CC5SC(=O)NC5=O)CC4)N(C)C3C2)CC(C)C1N
ROBVIMPUHSLWNV-UHFFFAOYSA-N,L,L02,L02B,L02BG,L02BG01,Aminoglutethimide,CCC1(CCC(=O)NC1=O)C1CCC(N)CC1
CLPFFLWZZBQMAO-UHFFFAOYSA-N,,,,,,,N#CC1CCC(CC1)C1CCCC2CNCN12
HKVAMNSJSFKALM-UHFFFAOYSA-N,,,,,,,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
HTGCJAAPDHZCHL-UHFFFAOYSA-N,,,,,,,CC1(CN2CCC(CC2)N2C3CCCCC3[NH]C2=O)OCC2CCCCC2-N2CCCC12
CBGUOGMQLZIXBE-BHPVMOEKSA-N,,,,,,,CCC(=O)O[C@@]1([C@@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)CCL
JWHAUXFOSRPERK-UHFFFAOYSA-N,C,C01,C01B,C01BC,C01BC03,Propafenone,CCCNCC(O)COC1CCCCC1C(=O)CCC1CCCCC1
JIVPVXMEBJLZRO-UHFFFAOYSA-N,G,G01,G01A,G01AE,G01AE10,Chlorthalidone,NS(=O)(=O)C1CC(CCC1CL)C1(O)NC(=O)C2CCCCC12
DZZWHBIBMUVIIW-IENPIDJESA-N,,,,,,,CC1CN(C[C@H](C)N1)C1C(F)C(N)C2C(C1F)N(CC(C(O)=O)C2=O)C1CC1
ZMEULISFKSVRLQ-AZXRADLDSA-N,,,,,,,C[C@]12CC[C@H]3[C@@H](CCC4C(=O)C(=O)CC[C@]34C)[C@@H]1CCC2=O
QWAXKHKRTORLEM-LINFGICFSA-N,,,,,,,CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(N)=O)NC(=O)C1CCC2CCCCC2N1
ZBBHBTPTTSWHBA-UHFFFAOYSA-N,C,C08,C08C,C08CA,C08CA04,Nicardipine,COC(=O)C1=C(C)NC(C)=C(C1C1CCCC(C1)[N+]([O-])=O)C(=O)OCCN(C)CC1CCCCC1
UIARLYUEJFELEN-DMVVYWCZSA-N,,,,,,Lestaurtinib,C[C@]12OC(C[C@]1(O)CO)N1C3CCCCC3C3C4C(=O)NCC4C4C5CCCCC5N2C4C13
FSKFPVLPFLJRQB-UHFFFAOYSA-N,M,M03,M03B,M03BX,M03BX04,Tolperisone,CC(CN1CCCCC1)C(=O)C1CCC(C)CC1
WXUUCRLKXQMWRY-UHFFFAOYSA-N,,,,,,,O=C(NC1CCNCC1)NC1CCC(CC1)-C1NC(NC(N1)N1CCOCC1)N1C2CCC1COC2
MEZLKOACVSPNER-UHFFFAOYSA-N,,,,,,,CC(CC1CCCCC1)N(C)CC#C
RCINICONZNJXQF-VAZQATRQSA-N,,,,,,,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C3CCCCC3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)C1CCCCC1)C1CCCCC1
UGQMRVRMYYASKQ-VTHZCTBJSA-N,,,,,,,OC[C@H]1OC([C@H](O)[C@@H]1O)N1CNC2C1NC[NH]C2=O
PDOQBOJDRPLBQU-UHFFFAOYSA-N,,,,,,,CC(NC1NCC(CL)C(NC2CC(C)[NH]N2)N1)C1NCC(F)CN1
GOEMGAFJFRBGGG-UHFFFAOYSA-N,C,C07,C07A,C07AB,C07AB04,Acebutolol,CCCC(=O)NC1CCC(OCC(O)CNC(C)C)C(C1)C(C)=O
DHCNAWNKZMNTIS-UHFFFAOYSA-N,,,,,,,COC(=O)C1=C(C)NC(C)=C(C1C)C(=O)OCCSC1CCCCC1
PBKZPPIHUVSDNM-GMTJQTPWSA-N,,,,,,,C[C@]12CCC3C(C=CC4=CC(=O)CC[C@]34C)C1CC[C@@]2(O)CCC(O)=O
LKJPYSCBVHEWIU-UHFFFAOYSA-N,L,L02,L02B,L02BB,L02BB03,Bicalutamide,CC(O)(CS(=O)(=O)C1CCC(F)CC1)C(=O)NC1CCC(C#N)C(C1)C(F)(F)F
DFDGRKNOFOJBAJ-UHFFFAOYSA-N,,,,,,,CC1(OC(=CC1=O)C(O)=O)C1CCCCC1
WTQYWNWRJNXDEG-GZPFGDLZSA-N,,,,,,,CN1C2C[C@H](O)[C@H]1C[C@H](C2)OC(=O)[C@H](CO)C1CCCCC1
DOMWKUIIPQCAJU-JKPPDDDBSA-N,,,,,,,CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O
UVTNFZQICZKOEM-UHFFFAOYSA-N,C,C01,C01B,C01BA,C01BA03,Disopyramide,CC(C)N(CCC(C(N)=O)(C1CCCCC1)C1CCCCN1)C(C)C
LVGMMVAWLISWJD-UHFFFAOYSA-N,,,,,,,NC1CCN(C1)C1CCCNC1
IEKOTSCYBBDIJC-UHFFFAOYSA-N,,,,,,,CCCCCN(CCCCC)C(=O)C(CCC(O)=O)NC(=O)C1CCC(CL)C(CL)C1
RRHONYZEMUNMJX-UHFFFAOYSA-N,,,,,,,COC1CC(C)C(SC2CNC(NC(=O)C3CCC(CNC(C)C(C)C)CC3)S2)CC1C(=O)N1CCN(CC1)C(C)=O
LKCWBDHBTVXHDL-CJMFXXNZSA-N,,,,,,,NCC[C@@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)C1O
RZTAMFZIAATZDJ-UHFFFAOYSA-N,C,C07,C07F,C07FB,C07FB02,Felodipine,CCOC(=O)C1=C(C)NC(C)=C(C1C1CCCC(CL)C1CL)C(=O)OC
CDOOFZZILLRUQH-UHFFFAOYSA-N,,,,,,,CN1CCN(C)C(=O)C1C1CCC(NC2NC(CN(C)C2=O)-C2CCCC(NC(=O)C3CC4CCCCC4S3)C2C)CC1
WRNXUQJJCIZICJ-UHFFFAOYSA-N,,,,,,,CN(C)C1CCCN(C(=O)C2CCC(NC(=O)C3CCCCC3C)CC2)C2CCCCC12
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,N,N06,N06C,N06CA,N06CA03,Fluoxetine,CNCCC(OC1CCC(CC1)C(F)(F)F)C1CCCCC1
GNXFOGHNGIVQEH-UHFFFAOYSA-N,M,M03,M03B,M03BA,M03BA73,Methocarbamol,COC1CCCCC1OCC(O)COC(N)=O
PQLXHQMOHUQAKB-UHFFFAOYSA-O,,,,,,,CCCCCCCCCCCCCCCCOP(O)(=O)OCC[N+](C)(C)C
JHFOAISYWJRTIM-UHFFFAOYSA-N,,,,,,,CC1CCCC(N1C(=O)CCSC(C)=O)C(O)=O
MUFJHYRCIHHATF-UHFFFAOYSA-N,,,,,,,OC(=O)CC1CC(=NO1)C1CCCCC1
QXHHHPZILQDDPS-UHFFFAOYSA-N,G,G01,G01A,G01AF,G01AF20,Tioconazole,CLC1SCCC1COC(CN1CCNC1)C1CCC(CL)CC1CL
ZBMZVLHSJCTVON-UHFFFAOYSA-N,C,C07,C07A,C07AA,C07AA07,Sotalol,CC(C)NCC(O)C1CCC(NS(C)(=O)=O)CC1
