inchi_key,level1,level2,level3,level4,level5,name,pert_id,smiles
,C,C1,C10,C10AA,C10AA03,pravastatin,BRD-K31447894,
,N,N0,N05,N05BA,N05BA06,lorazepam,BRD-A11990600,
,J,J0,J01,J01DE,J01DE01,cefepime,BRD-A12077521,
,A,A0,A03,A03FA,A03FA02,cisapride,BRD-A12896037,
,L,L0,L04,L04AX,L04AX06,pomalidomide,BRD-A12994259,
,A,A1,A10,A10BG,A10BG01,troglitazone,BRD-A13084692,
,D,D1,D10,D10AA,D10AA01,fluorometholone,BRD-A13133631,
,C,C0,C02,C02CA,C02CA04,doxazosin,BRD-A13188892,
,N,N0,N06,N06AB,N06AB07,alaproclate,BRD-A14966924,
,N,N0,N06,N06AX,N06AX17,milnacipran,BRD-A15202882,
,A,A0,A02,A02BX,A02BX14,rebamipide,BRD-A15909516,
,C,C0,C01,C01CE,C01CE04,bucladesine,BRD-A15931911,
,B,B0,B01,B01AC,B01AC10,indobufen,BRD-A16296925,
,G,G0,G01,G01AF,G01AF15,butoconazole,BRD-A16665823,
,V,V0,V04,V04CJ,V04CJ02,protirelin,BRD-A16997652,
,R,R0,R03,R03CC,R03CC12,bambuterol,BRD-A17462676,
,M,M0,M01,M01AE,M01AE01,ibuprofen,BRD-A17655518,
,L,L0,L04,L04AX,L04AX04,lenalidomide,BRD-A17883755,
,N,N0,N03,N03AD,N03AD02,phensuximide,BRD-A18043272,
,J,J0,J01,J01CG,J01CG02,tazobactam,BRD-A18611368,
,G,G0,G03,G03CC,G03CC06,estriol,BRD-A18620900,
,G,G0,G03,G03CA,G03CA03,estradiol,BRD-A18917088,
,N,N0,N06,N06AA,N06AA06,trimipramine,BRD-A19195498,
,C,C0,C08,C08EX,C08EX02,perhexiline,BRD-A19633847,
,N,N0,N06,N06AX,N06AX03,mianserin,BRD-A19661776,
,A,A0,A04,A04AA,A04AA01,ondansetron,BRD-A19736161,
,P,P0,P01,P01AX,P01AX06,atovaquone,BRD-A19795905,
,C,C0,C02,C02BB,C02BB01,mecamylamine,BRD-A20119038,
,S,S0,S01,S01BA,S01BA08,medrysone,BRD-A20126139,
,M,M0,M03,M03BB,M03BB02,chlormezanone,BRD-A20348246,
,P,P0,P02,P02BA,P02BA01,praziquantel,BRD-A21858158,
,C,C0,C08,C08CA,C08CA01,amlodipine,BRD-A22032524,
,A,A1,A10,A10BX,A10BX06,benfluorex,BRD-A22305049,
,A,A0,A02,A02BC,A02BC02,pantoprazole,BRD-A22380646,
,J,J0,J02,J02AC,J02AC02,itraconazole,BRD-A23067620,
,C,C0,C04,C04AX,C04AX28,ifenprodil,BRD-A24191444,
,J,J0,J01,J01MA,J01MA01,ofloxacin,BRD-A24228527,
,B,B0,B01,B01AA,B01AA03,warfarin,BRD-A24514565,
,L,L0,L02,L02BG,L02BG01,aminoglutethimide,BRD-A25234499,
,L,L0,L04,L04AA,L04AA18,everolimus,BRD-K13514097,
,D,D0,D07,D07AD,D07AD01,clobetasol,BRD-A26095496,
,C,C0,C01,C01BC,C01BC03,propafenone,BRD-A26334849,
,J,J0,J01,J01MA,J01MA09,sparfloxacin,BRD-A26423207,
,L,L0,L02,L02BG,L02BG02,formestane,BRD-A26503646,
,J,J0,J05,J05AE,J05AE01,saquinavir,BRD-A26690767,
,C,C0,C08,C08CA,C08CA04,nicardipine,BRD-A26711594,
,M,M0,M03,M03BX,M03BX04,tolperisone,BRD-A27732521,
,N,N0,N04,N04BD,N04BD01,selegiline,BRD-A28545468,
,L,L0,L01,L01CD,L01CD01,paclitaxel,BRD-A28746609,
,D,D0,D06,D06BB,D06BB05,inosine,BRD-A28787076,
,C,C0,C07,C07AB,C07AB04,acebutolol,BRD-A29260609,
,L,L0,L02,L02BB,L02BB03,bicalutamide,BRD-A29485665,
,C,C0,C01,C01BA,C01BA03,disopyramide,BRD-A29734509,
,S,S0,S01,S01AA,S01AA21,amikacin,BRD-A30051119,
,C,C0,C08,C08CA,C08CA02,felodipine,BRD-A30815329,
,N,N0,N06,N06AB,N06AB03,fluoxetine,BRD-A31159102,
,M,M0,M03,M03BA,M03BA03,methocarbamol,BRD-A31521121,
,L,L0,L01,L01XX,L01XX09,miltefosine,BRD-A31811760,
,D,D0,D01,D01AC,D01AC07,tioconazole,BRD-A33084557,
,C,C0,C07,C07AA,C07AA07,sotalol,BRD-A33168282,
,L,L0,L01,L01CB,L01CB01,etoposide,BRD-K37798499,
,J,J0,J05,J05AF,J05AF01,zidovudine,BRD-A33692381,
,G,G0,G01,G01AF,G01AF12,fenticonazole,BRD-A33697453,
,N,N0,N04,N04AA,N04AA03,metixene,BRD-A33711280,
,M,M0,M01,M01AE,M01AE07,suprofen,BRD-A34006693,
,D,D0,D07,D07AB,D07AB19,dexamethasone,BRD-A69951442,
,L,L0,L01,L01XE,L01XE27,ibrutinib,BRD-K70301465,
,D,D0,D07,D07AC,D07AC11,amcinonide,BRD-A36010170,
,A,A0,A08,A08AA,A08AA03,amfepramone,BRD-A37288617,
,A,A0,A01,A01AC,A01AC01,triamcinolone,BRD-A37780065,
,G,G0,G03,G03CC,G03CC04,estrone,BRD-A37959677,
,N,N0,N02,N02BG,N02BG03,glafenine,BRD-A38076815,
,J,J0,J02,J02AB,J02AB02,ketoconazole,BRD-A38350138,
,A,A0,A02,A02BC,A02BC04,rabeprazole,BRD-A39390670,
,G,G0,G03,G03AC,G03AC01,norethisterone,BRD-A39415247,
,S,S0,S01,S01BC,S01BC05,ketorolac,BRD-A40639672,
,J,J0,J01,J01MA,J01MA15,gemifloxacin,BRD-A40787240,
,L,L0,L04,L04AA,L04AA31,teriflunomide,BRD-A42699921,
,P,P0,P01,P01AB,P01AB03,ornidazole,BRD-A42759514,
,C,C0,C02,C02DG,C02DG01,pinacidil,BRD-A43882281,
,M,M0,M01,M01AE,M01AE10,indoprofen,BRD-A44090213,
,N,N0,N05,N05CA,N05CA01,pentobarbital,BRD-A44448661,
,A,A0,A02,A02BX,A02BX06,proglumide,BRD-A44863528,
,S,S0,S01,S01EE,S01EE03,bimatoprost,BRD-A45153512,
,P,P0,P01,P01AX,P01AX05,mepacrine,BRD-A45889380,
,R,R0,R07,R07AB,R07AB01,doxapram,BRD-A46179541,
,N,N0,N06,N06AB,N06AB04,citalopram,BRD-A47598013,
,A,A1,A10,A10BG,A10BG03,pioglitazone,BRD-A48430263,
,P,P0,P02,P02CF,P02CF01,ivermectin,BRD-A48570745,
,N,N0,N06,N06DA,N06DA02,donepezil,BRD-A49160188,
,J,J0,J01,J01DI,J01DI03,faropenem,BRD-A49622760,
,D,D0,D07,D07AC,D07AC07,fludroxycortide,BRD-A49765801,
,B,B0,B01,B01AA,B01AA04,phenprocoumon,BRD-A49838158,
,B,B0,B01,B01AF,B01AF01,rivaroxaban,BRD-A50033377,
,C,C0,C01,C01CA,C01CA19,fenoldopam,BRD-A50684349,
,C,C0,C09,C09AA,C09AA09,fosinopril,BRD-A51382177,
,N,N0,N06,N06AX,N06AX16,venlafaxine,BRD-A51714012,
,G,G0,G01,G01AF,G01AF05,econazole,BRD-A51820102,
,P,P0,P01,P01BX,P01BX01,halofantrine,BRD-A51964809,
,J,J0,J01,J01FF,J01FF01,clindamycin,BRD-A52252998,
,C,C0,C08,C08DA,C08DA02,gallopamil,BRD-A52922642,
,D,D0,D07,D07AA,D07AA01,methylprednisolone,BRD-A53176877,
,N,N0,N01,N01AX,N01AX07,etomidate,BRD-A54880345,
,N,N0,N05,N05AL,N05AL01,sulpiride,BRD-A55272860,
,G,G0,G03,G03BA,G03BA03,testosterone,BRD-A55393291,
,N,N0,N07,N07BA,N07BA04,cytisine,BRD-A55579717,
,P,P0,P01,P01BA,P01BA03,primaquine,BRD-A55913614,
,A,A0,A02,A02BC,A02BC01,omeprazole,BRD-A55962179,
,M,M0,M01,M01AC,M01AC01,piroxicam,BRD-A57382968,
,C,C0,C08,C08CA,C08CA06,nimodipine,BRD-A58048407,
,L,L0,L01,L01XE,L01XE13,afatinib,BRD-K66175015,
,G,G0,G02,G02CA,G02CA01,ritodrine,BRD-A59174698,
,A,A1,A10,A10BB,A10BB09,gliclazide,BRD-A61154809,
,C,C0,C03,C03BA,C03BA08,metolazone,BRD-A61793559,
,L,L0,L01,L01XE,L01XE09,temsirolimus,BRD-K42898655,
,A,A0,A04,A04AD,A04AD01,scopolamine,BRD-A62035778,
,A,A0,A07,A07EA,A07EA03,prednisone,BRD-A62525898,
,A,A0,A07,A07AA,A07AA11,rifaximin,BRD-A62879835,
,A,A1,A10,A10BF,A10BF02,miglitol,BRD-A63310107,
,J,J0,J05,J05AB,J05AB15,brivudine,BRD-A63675168,
,S,S0,S01,S01AD,S01AD02,trifluridine,BRD-A64485570,
,N,N0,N06,N06AX,N06AX11,mirtazapine,BRD-A64977602,
,G,G0,G04,G04BD,G04BD04,oxybutynin,BRD-A65013509,
,B,B0,B01,B01AA,B01AA07,acenocoumarol,BRD-A65051990,
,N,N0,N05,N05AE,N05AE02,molindone,BRD-A65280694,
,H,H0,H02,H02CA,H02CA01,trilostane,BRD-A66155091,
,L,L0,L01,L01AA,L01AA06,ifosfamide,BRD-A67097164,
,G,G0,G03,G03DA,G03DA04,progesterone,BRD-A67479912,
,A,A0,A02,A02BA,A02BA08,lafutidine,BRD-A67516570,
,C,C0,C04,C04AX,C04AX21,naftidrofuryl,BRD-A67862938,
,L,L0,L01,L01DB,L01DB02,daunorubicin,BRD-A68009927,
,A,A0,A08,A08AA,A08AA05,mazindol,BRD-A68464583,
,J,J0,J05,J05AP,J05AP05,simeprevir,BRD-A68493689,
,R,R0,R06,R06AX,R06AX19,azelastine,BRD-A68888262,
,C,C0,C08,C08DB,C08DB01,diltiazem,BRD-A69636825,
,P,P0,P01,P01AB,P01AB07,secnidazole,BRD-A70083328,
,L,L0,L01,L01XX,L01XX11,estramustine,BRD-A70858459,
,A,A0,A03,A03AX,A03AX04,pinaverium,BRD-A70998768,
,G,G0,G02,G02CB,G02CB05,metergoline,BRD-A72309220,
,R,R0,R06,R06AX,R06AX26,fexofenadine,BRD-A73368467,
,L,L0,L02,L02BG,L02BG06,exemestane,BRD-A73741725,
,C,C0,C01,C01BD,C01BD05,ibutilide,BRD-A74391928,
,M,M0,M01,M01AB,M01AB08,etodolac,BRD-A74667430,
,L,L0,L01,L01BA,L01BA05,pralatrexate,BRD-A74914197,
,J,J0,J01,J01MA,J01MA16,gatifloxacin,BRD-A74980173,
,H,H0,H02,H02AB,H02AB09,hydrocortisone,BRD-A75172220,
,J,J0,J02,J02AX,J02AX06,anidulafungin,BRD-A75305484,
,J,J0,J05,J05AC,J05AC02,rimantadine,BRD-A75479906,
,R,R0,R03,R03AC,R03AC14,clenbuterol,BRD-A75726477,
,C,C0,C01,C01EB,C01EB21,regadenoson,BRD-A78341343,
,J,J0,J01,J01DC,J01DC05,cefotetan,BRD-A78723049,
,N,N0,N02,N02BG,N02BG06,nefopam,BRD-A78877355,
,L,L0,L04,L04AA,L04AA10,sirolimus,BRD-A79768653,
,C,C0,C01,C01CA,C01CA17,midodrine,BRD-A79981887,
,C,C0,C03,C03AA,C03AA01,bendroflumethiazide,BRD-A80017228,
,G,G0,G02,G02CB,G02CB01,bromocriptine,BRD-A80151636,
,C,C0,C03,C03XA,C03XA01,tolvaptan,BRD-A82035391,
,A,A1,A10,A10BH,A10BH03,saxagliptin,BRD-A82156122,
,G,G0,G01,G01AF,G01AF04,miconazole,BRD-A82396632,
,G,G0,G03,G03CX,G03CX01,tibolone,BRD-A82522119,
,G,G0,G04,G04CB,G04CB01,finasteride,BRD-A83081521,
,M,M0,M01,M01AC,M01AC06,meloxicam,BRD-A84174393,
,N,N0,N05,N05AC,N05AC02,thioridazine,BRD-A84481105,
,M,M0,M02,M02AA,M02AA28,piketoprofen,BRD-A85548292,
,N,N0,N07,N07BA,N07BA03,varenicline,BRD-A86216746,
,L,L0,L01,L01XX,L01XX10,masoprocol,BRD-A87130939,
,M,M0,M01,M01AX,M01AX23,tenidap,BRD-A87479750,
,D,D0,D07,D07AD,D07AD02,halcinonide,BRD-A88138582,
,C,C0,C07,C07AB,C07AB07,bisoprolol,BRD-A89175223,
,P,P0,P01,P01BC,P01BC02,mefloquine,BRD-A89585551,
,B,B0,B01,B01AC,B01AC16,eptifibatide,BRD-A90547603,
,C,C0,C08,C08CA,C08CA03,isradipine,BRD-A90799790,
,P,P0,P01,P01BA,P01BA01,chloroquine,BRD-A91699651,
,L,L0,L01,L01BC,L01BC06,capecitabine,BRD-A91877226,
,G,G0,G03,G03XA,G03XA01,danazol,BRD-A92537424,
,A,A0,A03,A03AA,A03AA05,trimebutine,BRD-A92630576,
,N,N0,N05,N05CD,N05CD07,temazepam,BRD-A93093700,
,L,L0,L04,L04AX,L04AX02,thalidomide,BRD-A93255169,
,G,G0,G01,G01AF,G01AF07,isoconazole,BRD-A93353767,
,C,C0,C07,C07AB,C07AB13,talinolol,BRD-A94276798,
,D,D0,D01,D01AC,D01AC10,bifonazole,BRD-A94543220,
,C,C0,C01,C01AA,C01AA05,digoxin,BRD-A94756469,
,J,J0,J05,J05AF,J05AF06,abacavir,BRD-A95032015,
,C,C0,C03,C03BA,C03BA11,indapamide,BRD-A95869247,
,D,D0,D01,D01AC,D01AC14,sertaconazole,BRD-A95939040,
,D,D1,D11,D11AX,D11AX16,eflornithine,BRD-A96292436,
,L,L0,L04,L04AD,L04AD02,tacrolimus,BRD-K69608737,
,G,G0,G02,G02CA,G02CA03,fenoterol,BRD-A97104540,
,A,A1,A10,A10BG,A10BG02,rosiglitazone,BRD-A97437073,
,A,A0,A03,A03AA,A03AA30,piperidolate,BRD-A97479839,
,B,B0,B03,B03BA,B03BA01,cyanocobalamin,BRD-A97502381,
,C,C0,C01,C01EB,C01EB18,ranolazine,BRD-A97674275,
,C,C0,C07,C07AA,C07AA03,pindolol,BRD-A97701745,
,M,M0,M02,M02AA,M02AA10,ketoprofen,BRD-A97739905,
,C,C0,C03,C03DA,C03DA01,spironolactone,BRD-A97808748,
,A,A0,A02,A02BX,A02BX01,carbenoxolone,BRD-A98702003,
,N,N0,N06,N06AX,N06AX23,desvenlafaxine,BRD-A98845662,
,R,R0,R06,R06AX,R06AX24,epinastine,BRD-A98990573,
,M,M0,M03,M03BA,M03BA02,carisoprodol,BRD-A99939097,
,M,M0,M04,M04AC,M04AC01,colchicine,BRD-K00259736,
,J,J0,J01,J01MA,J01MA13,trovafloxacin,BRD-K00494077,
,B,B0,B01,B01AC,B01AC05,ticlopidine,BRD-K00603606,
,A,A0,A02,A02BA,A02BA03,famotidine,BRD-K00673382,
,N,N0,N05,N05AX,N05AX16,brexpiprazole,BRD-K00911143,
,N,N0,N05,N05AG,N05AG02,pimozide,BRD-K01292756,
,C,C0,C01,C01EB,C01EB10,adenosine,BRD-K01577834,
,A,A1,A10,A10BF,A10BF01,acarbose,BRD-K01621533,
,C,C0,C02,C02AC,C02AC06,rilmenidine,BRD-K01638814,
,R,R0,R06,R06AE,R06AE06,oxatomide,BRD-K02079473,
,L,L0,L01,L01XX,L01XX46,olaparib,BRD-K02113016,
,N,N0,N06,N06AA,N06AA17,amoxapine,BRD-K02265150,
,J,J0,J01,J01DD,J01DD12,cefoperazone,BRD-K02292852,
,N,N0,N06,N06BC,N06BC01,caffeine,BRD-K02404261,
,L,L0,L01,L01XX,L01XX33,celecoxib,BRD-K02637541,
,N,N0,N06,N06AX,N06AX07,minaprine,BRD-K02867583,
,J,J0,J01,J01XX,J01XX03,clofoctol,BRD-K02900412,
,J,J0,J05,J05AP,J05AP09,dasabuvir,BRD-K02943813,
,J,J0,J05,J05AF,J05AF05,lamivudine,BRD-K02992638,
,C,C0,C01,C01CX,C01CX08,levosimendan,BRD-K03095347,
,R,R0,R03,R03DX,R03DX07,roflumilast,BRD-K03194791,
,L,L0,L03,L03AX,L03AX02,roquinimex,BRD-K03384561,
,L,L0,L01,L01XE,L01XE38,cobimetinib,BRD-K03390685,
,L,L0,L01,L01BC,L01BC07,azacitidine,BRD-K55026842,
,L,L0,L01,L01DC,L01DC04,ixabepilone,BRD-K03601870,
,S,S0,S01,S01BC,S01BC10,nepafenac,BRD-K04112579,
,D,D0,D04,D04AB,D04AB03,oxybuprocaine,BRD-K04185004,
,J,J0,J01,J01MA,J01MA02,ciprofloxacin,BRD-K04804440,
,C,C0,C07,C07AB,C07AB12,nebivolol,BRD-K04956647,
,N,N0,N07,N07BA,N07BA01,nicotine,BRD-K05395900,
,C,C0,C01,C01BD,C01BD07,dronedarone,BRD-K05524748,
,J,J0,J05,J05AX,J05AX08,raltegravir,BRD-K05658747,
,J,J0,J01,J01CF,J01CF01,dicloxacillin,BRD-K05673000,
,D,D0,D01,D01AC,D01AC15,fluconazole,BRD-K05977355,
,J,J0,J05,J05AG,J05AG05,rilpivirine,BRD-K06240250,
,M,M0,M03,M03BX,M03BX02,tizanidine,BRD-K06335600,
,N,N0,N04,N04BC,N04BC05,pramipexole,BRD-K06388322,
,J,J0,J02,J02AC,J02AC03,voriconazole,BRD-K06557128,
,L,L0,L01,L01CD,L01CD04,cabazitaxel,BRD-K06858286,
,V,V0,V03,V03AC,V03AC02,deferiprone,BRD-K06878038,
,D,D1,D11,D11AX,D11AX01,minoxidil,BRD-K06902185,
,J,J0,J01,J01EA,J01EA01,trimethoprim,BRD-K07208025,
,N,N0,N07,N07CA,N07CA02,cinnarizine,BRD-K07220430,
,N,N0,N06,N06AG,N06AG02,moclobemide,BRD-K07237224,
,A,A0,A06,A06AH,A06AH02,alvimopan,BRD-K07857022,
,J,J0,J05,J05AF,J05AF10,entecavir,BRD-K08206212,
,D,D1,D11,D11AX,D11AX18,diclofenac,BRD-K08252256,
,L,L0,L01,L01XX,L01XX19,irinotecan,BRD-K08547377,
,A,A0,A04,A04AA,A04AA05,palonosetron,BRD-K08924299,
,P,P0,P01,P01AA,P01AA02,clioquinol,BRD-K09255212,
,J,J0,J01,J01MA,J01MA12,levofloxacin,BRD-K09471561,
,C,C0,C08,C08CX,C08CX01,mibefradil,BRD-K09549677,
,L,L0,L01,L01XE,L01XE23,dabrafenib,BRD-K09951645,
,A,A0,A07,A07EC,A07EC01,sulfasalazine,BRD-K10670311,
,M,M0,M02,M02AA,M02AA01,phenylbutazone,BRD-K10843433,
,N,N0,N04,N04BX,N04BX01,tolcapone,BRD-K10852020,
,S,S0,S01,S01EE,S01EE01,latanoprost,BRD-K10961822,
,C,C1,C10,C10AB,C10AB04,gemfibrozil,BRD-K11129031,
,S,S0,S01,S01AE,S01AE02,norfloxacin,BRD-K11196887,
,L,L0,L01,L01XE,L01XE36,alectinib,BRD-K11267252,
,A,A1,A10,A10BA,A10BA01,phenformin,BRD-K11399644,
,M,M0,M04,M04AB,M04AB03,benzbromarone,BRD-K11717138,
,A,A1,A10,A10BB,A10BB07,glipizide,BRD-K12219985,
,L,L0,L01,L01XE,L01XE25,trametinib,BRD-K12343256,
,D,D0,D01,D01BA,D01BA01,griseofulvin,BRD-K12423485,
,A,A1,A11,A11DA,A11DA02,sulbutiamine,BRD-K12539416,
,M,M0,M01,M01AH,M01AH03,valdecoxib,BRD-K12994359,
,A,A0,A08,A08AX,A08AX01,rimonabant,BRD-K13296708,
,S,S0,S01,S01EC,S01EC05,methazolamide,BRD-K13356952,
,L,L0,L01,L01XE,L01XE39,midostaurin,BRD-K13646352,
,G,G0,G04,G04BE,G04BE09,vardenafil,BRD-K13926615,
,J,J0,J01,J01MB,J01MB06,cinoxacin,BRD-K14704277,
,R,R0,R07,R07AB,R07AB05,bemegride,BRD-K14993104,
,S,S0,S01,S01GX,S01GX06,emedastine,BRD-K15010214,
,L,L0,L01,L01BC,L01BC05,gemcitabine,BRD-K15108141,
,L,L0,L01,L01XX,L01XX45,carfilzomib,BRD-K15179879,
,N,N0,N05,N05AG,N05AG03,penfluridol,BRD-K15409150,
,J,J0,J05,J05AG,J05AG01,nevirapine,BRD-K15502390,
,A,A0,A03,A03AD,A03AD01,papaverine,BRD-K15567136,
,J,J0,J01,J01DD,J01DD15,cefdinir,BRD-K15766189,
,D,D0,D01,D01AC,D01AC01,clotrimazole,BRD-K15916496,
,N,N0,N04,N04BC,N04BC04,ropinirole,BRD-K15933101,
,J,J0,J05,J05AF,J05AF11,telbivudine,BRD-K15976406,
,M,M0,M02,M02AA,M02AA14,fentiazac,BRD-K16077845,
,S,S0,S01,S01GA,S01GA04,oxymetazoline,BRD-K16195444,
,R,R0,R03,R03DC,R03DC04,ibudilast,BRD-K16444452,
,N,N0,N05,N05BA,N05BA01,diazepam,BRD-K16508793,
,L,L0,L01,L01XE,L01XE21,regorafenib,BRD-K16730910,
,J,J0,J01,J01FA,J01FA09,clarithromycin,BRD-K16762525,
,L,L0,L01,L01AA,L01AA09,bendamustine,BRD-K17068645,
,M,M0,M03,M03AC,M03AC04,atracurium,BRD-K17498618,
,C,C0,C01,C01BD,C01BD01,amiodarone,BRD-K17561142,
,L,L0,L01,L01XX,L01XX49,belinostat,BRD-K17743125,
,D,D0,D06,D06AX,D06AX13,retapamulin,BRD-K17930269,
,P,P0,P01,P01BE,P01BE03,artesunate,BRD-K17944737,
,C,C0,C01,C01CA,C01CA11,mephentermine,BRD-K18194590,
,N,N0,N04,N04BX,N04BX03,budipine,BRD-K18324993,
,N,N0,N06,N06AX,N06AX08,bifemelane,BRD-K18779551,
,N,N0,N05,N05AH,N05AH03,olanzapine,BRD-K18895904,
,S,S0,S01,S01EB,S01EB06,neostigmine,BRD-K18922609,
,N,N0,N05,N05AB,N05AB04,prochlorperazine,BRD-K19352500,
,A,A1,A10,A10BH,A10BH01,sitagliptin,BRD-K19416115,
,N,N0,N06,N06BX,N06BX03,piracetam,BRD-K19456237,
,C,C0,C04,C04AX,C04AX20,buflomedil,BRD-K19462402,
,L,L0,L01,L01XE,L01XE07,lapatinib,BRD-K19687926,
,C,C0,C01,C01BG,C01BG11,vernakalant,BRD-K19741547,
,C,C0,C03,C03DA,C03DA04,eplerenone,BRD-K19761926,
,N,N0,N03,N03AF,N03AF03,rufinamide,BRD-K20079257,
,N,N0,N06,N06BA,N06BA09,atomoxetine,BRD-K20141153,
,N,N0,N07,N07XX,N07XX02,riluzole,BRD-K21283037,
,N,N0,N01,N01AH,N01AH03,sufentanil,BRD-K21547160,
,C,C0,C01,C01BG,C01BG01,moracizine,BRD-K21548250,
,L,L0,L01,L01DB,L01DB07,mitoxantrone,BRD-K21680192,
,R,R0,R06,R06AX,R06AX25,mizolastine,BRD-K21884483,
,N,N0,N02,N02BA,N02BA11,diflunisal,BRD-K22031190,
,C,C1,C10,C10AA,C10AA01,simvastatin,BRD-K22134346,
,J,J0,J05,J05AB,J05AB06,ganciclovir,BRD-K22662435,
,R,R0,R06,R06AA,R06AA07,diphenylpyraline,BRD-K22936972,
,S,S0,S03,S03AA,S03AA08,chloramphenicol,BRD-K22969690,
,L,L0,L01,L01AB,L01AB01,busulfan,BRD-K23204545,
,S,S0,S01,S01EE,S01EE04,travoprost,BRD-K23976833,
,L,L0,L01,L01XE,L01XE05,sorafenib,BRD-K23984367,
,N,N0,N06,N06AA,N06AA19,amineptine,BRD-K24219278,
,N,N0,N01,N01BA,N01BA02,procaine,BRD-K24616672,
,L,L0,L01,L01BC,L01BC02,fluorouracil,BRD-K24844714,
,M,M0,M01,M01AE,M01AE12,oxaprozin,BRD-K25394294,
,N,N0,N06,N06AA,N06AA21,maprotiline,BRD-K25433859,
,V,V0,V03,V03AB,V03AB19,physostigmine,BRD-K25650355,
,J,J0,J01,J01FA,J01FA07,josamycin,BRD-K25837718,
,M,M0,M03,M03BX,M03BX05,thiocolchicoside,BRD-K26619122,
,D,D0,D06,D06BB,D06BB10,imiquimod,BRD-K26657438,
,R,R0,R06,R06AE,R06AE09,levocetirizine,BRD-K27184429,
,R,R0,R06,R06AX,R06AX02,cyproheptadine,BRD-K28143534,
,P,P0,P01,P01BB,P01BB01,proguanil,BRD-K28183345,
,L,L0,L02,L02BB,L02BB01,flutamide,BRD-K28307902,
,G,G0,G02,G02CC,G02CC03,benzydamine,BRD-K28542495,
,J,J0,J04,J04AK,J04AK01,pyrazinamide,BRD-K28667793,
,D,D0,D05,D05AX,D05AX03,calcitriol,BRD-K28731095,
,N,N0,N05,N05CH,N05CH02,ramelteon,BRD-K28761891,
,A,A1,A11,A11HA,A11HA01,nicotinamide,BRD-K28912512,
,S,S0,S01,S01GX,S01GX08,ketotifen,BRD-K28936863,
,G,G0,G04,G04CB,G04CB02,dutasteride,BRD-K28984613,
,B,B0,B01,B01AF,B01AF03,edoxaban,BRD-K29322660,
,L,L0,L01,L01AA,L01AA02,chlorambucil,BRD-K29458283,
,R,R0,R03,R03DX,R03DX01,amlexanox,BRD-K29530284,
,N,N0,N05,N05AE,N05AE04,ziprasidone,BRD-K29582115,
,N,N0,N03,N03AX,N03AX11,topiramate,BRD-K29653726,
,G,G0,G03,G03GB,G03GB02,clomifene,BRD-K29950728,
,C,C0,C09,C09XA,C09XA02,aliskiren,BRD-K30020243,
,C,C0,C07,C07AA,C07AA06,timolol,BRD-K30421593,
,C,C0,C03,C03CA,C03CA04,torasemide,BRD-K30480208,
,J,J0,J04,J04AB,J04AB04,rifabutin,BRD-K30563334,
,L,L0,L04,L04AA,L04AA29,tofacitinib,BRD-K36280065,
,C,C0,C01,C01EB,C01EB17,ivabradine,BRD-K31385749,
,S,S0,S01,S01BA,S01BA13,rimexolone,BRD-K31627533,
,S,S0,S01,S01ED,S01ED03,levobunolol,BRD-K31812033,
,L,L0,L01,L01AX,L01AX03,temozolomide,BRD-K32107296,
,A,A1,A10,A10BB,A10BB05,tolazamide,BRD-K32164935,
,N,N0,N03,N03AA,N03AA03,primidone,BRD-K32247306,
,P,P0,P03,P03AA,P03AA04,disulfiram,BRD-K32744045,
