name,atc
clonazepam,N03AE01
"reserpine and diuretics, combinations with other drugs",C02LA51
technetium (99mTc) millimicrospheres,V09DB03
"phenprobamate, combinations with psycholeptics",M03BA71
"Glucocorticoids, Systemic",H02AB
PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F
magnesium oxide,A06AD02
betamethasone,D07AC01
"Beta blocking agents, antiglaucoma preparations and miotics",S01ED
alfuzosin,G04CA01
cyfluthrin,P03BA01
"iron, multivitamins and folic acid",B03AE02
piperidolate,A03AA30
benzocaine,C05AD03
tranylcypromine,N06AF04
clopidogrel,B01AC04
potassium gluconate,A12BA05
Other antiobesity drugs in ATC,A08AX
butizide and potassium-sparing agents,C03EA14
Fish,T013
Solutions affecting the electrolyte balance,B05BB
crataegus glycosides,C01EB04
"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS",L01C
Blood coagulation factors,B02BD
lung surfactant combinations,R07AA30
methylpropylpropanediol dinitrate,C01DA04
4-dimethylaminophenol,V03AB27
"Antiallergic inhalants for obstructive airway diseases, excl. corticosteroids",R03BC
VITAMIN K AND OTHER HEMOSTATICS,B02B
"thiamphenicol, combinations",J01BA52
antazoline,R06AX05
HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A
aloglutamol,A02AB06
leuprorelin,L02AE02
isoconazole,G01AF07
oxypertine,N05AE01
histrelin,L02AE05
"Bisquaternary ammonium compounds, ganglion-blocking antiandrenergic",C02BC
protamine,V03AB14
PAIN PALLIATION (BONE SEEKING AGENTS),V10B
DRUGS FOR CONSTIPATION,A06
ondansetron,A04AA01
"fructose 1,6-diphosphate",C01EB07
desaspidin,P02DX01
chymotrypsin,B06AA04
interferon alfacon-1,L03AB09
triamcinolone,A01AC01
propenidazole,P01AB05
biperiden,N04AA02
Biologically Active Substance,T123
metoprolol and acetylsalicylic acid,C07FX03
nicotinic acid,C10AD02
triamcinolone,C05AA12
methoserpidine and diuretics,C02LA04
moxonidine and diuretics,C02LC05
"lansoprazole, combinations",A02BC53
carbamide,B05BC02
progesterone and estrogen,G03FA04
amiodarone,C01BD01
mercury compounds,S01AX01
First-generation cephalosporins,J01DB
carindacillin,J01CA05
trichlormethiazide and potassium-sparing agents,C03EA02
mycophenolic acid,L04AA06
various other agents for local oral treatment in ATC,A01AD11
sodium aurothiomalate,M01CB01
ermekumab,L01XC29
PERIPHERAL VASODILATORS,C04
reposal,N05CA12
"lansoprazole, amoxicillin and metronidazole",A02BD03
oxyphenbutazone,S01BC02
dimethylcarbate,P03BX05
ketorolac,S01BC05
Penicillins with extended spectrum,J01CA
ciprofloxacin,J01MA02
zonisamide,N03AX15
"Adamantane derivatives, dopaminergic",N04BB
"Iodine I-125 compounds, cardivascular system diagnostic radiopharmaceuticals",V09GB
prednisolone,S01BA04
Drug Delivery Device,T203
MUSCLE RELAXANTS,M03
interferon alfa natural,L03AB01
sulfafurazole,S01AB02
fluorometholone and antibiotics,D07CB03
URINE TEST DRUGS,V04B
zopiclone,N05CF01
vitamin D and analog combinations,A11CC20
Meningococcal vaccines,J07AH
"meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated",J07AH08
alclofenac,M01AB06
metamfetamine,N06BA03
"docusate sodium, incl. combinations",A06AG10
xantinol nicotinate,C04AD02
"Diagnostic, opthalmologic coloring agents",S01JA
DRUGS FOR TREATMENT OF BONE DISEASES,M05
ketoconazole,J02AB02
alcuronium,M03AA01
ethanol,D08AX08
risedronic acid,M05BA07
tetrabenazine,N07XX06
diphenadione,B01AA10
potassium acetate,B05XA17
"feprazone, combinations",M01AX68
fluocinolone acetonide,D07AC04
phenylpropanolamine,R01BA01
policresulen,G01AX03
CHEMOTHERAPEUTICS FOR TOPICAL USE,D06B
ANTIEMETICS AND ANTINAUSEANTS,A04A
heptaminol,C01DX08
clindamycin,J01FF01
dimethyl fumarate,N07XX09
flunitrazepam,N05CD03
ketoconazole,G01AF11
dexamethasone,C05AA09
von Willebrand factor and coagulation factor VIII in combination,B02BD06
opium alkaloids with morphine,R05DA05
etelcalcetide,H05BX04
ammonium chloride,B05XA04
barium sulfate without suspending agents,V08BA02
gemigliptin,A10BH06
local anesthetic throat preparations,R02AD
gefitinib,L01XE02
tiracizine,C01EB11
abarelix,L02BX01
chlorquinaldol,D08AH02
eberconazole,D01AC17
chlormidazole,D01AC04
lorcainide,C01BC07
pertussis immunoglobulin,J06BB13
OTHER GYNECOLOGICALS in ATC,G02C
demecolcine,L01CC01
Carbohydrate Sequence,T088
hydroquinidine,C01BA13
sodium chlorite,D03AX11
prifinium bromide,A03AB18
Sympathomimetics in glaucoma therapy,S01EA
neomycin,A01AB08
teriparatide,H05AA02
protionamide,J04AD01
atenolol and thiazides,C07BB03
Cod-liver oil ointments,D03AA
levocabastine,R01AC02
tripelennamine,D04AA04
carbon dioxide,V03AN02
dibrompropamidine,S01AX14
gelatin agents,B05AA06
lactic acid producing organisms,A07FA01
cetrimonium,D08AJ02
labetalol and other diuretics,C07CG01
sodium salicylate,N02BA04
dimazole,D01AE17
technetium (99mTc) lidofenin,V09DA03
gentamicin,S01AA11
bromhexine,R05CB02
tositumomab/iodine (131I) tositumomab,V10XA53
Prunus africanae cortex,G04CX01
candesartan and diuretics,C09DA06
iodine ioflupane (123I),V09AB03
sulfur,D10AB02
telithromycin,J01FA15
Human,T016
becaplermin,A01AD08
diltiazem,C08DB01
ethenzamide,N02BA07
ferrous fumarate,B03AD02
sulfathiazole,J01EB07
ethyl chloride,N01BX01
Vitamin B-complex with vitamin C,A11EB
diphtheria-hemophilus influenzae B-pertussis-tetanus-hepatitis B,J07CA11
flutamide,L02BB01
calcium gluconate,A12AA03
florbetapir (18F),V09AX05
diphtheria antitoxin,J06AA01
lidocaine,N01BB02
enzalutamide,L02BB04
nifurtimox,P01CC01
mesalazine,A07EC02
sodium benzoate,A16AX11
acetylcysteine,S01XA08
diethylstilbestrol,L02AA01
ibacitabine,D06BB08
calcium lactate gluconate,A12AA06
Other ophthalmologicals in ATC,S01XA
"bucetin, combinations with psycholeptics",N02BE74
ceratonia,A07XA02
brucella antigen,J07AD01
"acetylsalicylic acid, combinations excl. psycholeptics",N02BA51
tipranavir,J05AE09
calcipotriol,D05AX02
feather,V01AA01
tolazamide,A10BB05
Third-generation cephalosporins,J01DD
Diphenylpropylamine derivative analgesics,N02AC
"Tetracycline and derivatives, topical antibiotics",D06AA
framycetin,R01AX08
digitoxin,C01AA04
amlexanox,R03DX01
butobarbital,N05CA03
"Beta blocking agents, selective, and vasodilators",C07EB
"alverine, combinations",A03AX58
trifluridine,S01AD02
conivaptan,C03XA02
Other sclerosing agents in ATC,C05BX
Enzyme,T126
"Phenothiazines with aliphatic side-chain, antipsychotics",N05AA
nabilone,A04AD11
streptomycin,A07AA04
chlortalidone and potassium,C03BB04
sodium iodide (123I),V09FX02
salbutamol and ipratropium bromide,R03AL02
cefixime,J01DD08
beta-Adrenergic Blocking Agents,C07
sorbitol,A06AG07
tilbroquinol,P01AA05
"doxylamine, combinations",R06AA59
avanafil,G04BE10
Other antimycotics for systemic use in ATC,J02AX
"methadone, combinations excl. psycholeptics",N02AC52
benzalkonium,R02AA16
methylestrenolone,G03DC31
Corticosteroids,S03BA
pivagabine,N06AX15
chlorothiazide,C03AA04
zinc protein complex,A12CB03
ketazolam,N05BA10
"loperamide, combinations",A07DA53
Sulfonylureas for blood glucose lowering,A10BB
oxycodone and ibuprofen,N02AJ19
ivermectin,P02CF01
codeine and paracetamol,N02AJ06
"Beta blocking agents, non-selective, and other diuretics",C07CA
"Blood transfusion, auxiliary products",V07AC
"hyaluronic acid, combinations",S01KA51
Vitamins with minerals,A11JB
phenol,R02AA19
veratrum and diuretics,C02LK01
benzalkonium,D09AA11
"alendronic acid, calcium and colecalciferol, sequential",M05BB05
ocriplasmin,S01XA22
dicoumarol,B01AA01
atosiban,G02CX01
glycerol,A06AX01
fluticasone furoate,R01AD12
selenium (75Se) norcholesterol,V09XX03
famotidine,A02BA03
sodium apolate,C05BA02
budesonide,R03BA02
teriflunomide,L04AA31
folic acid,B03BB01
"pertussis, purified antigen, combinations with toxoids",J07AJ52
"typhoid, oral, live attenuated",J07AP01
bromisoval,N05CM03
Protectives against UV-radiation for topical use,D02BA
MUSCULO-SKELETAL SYSTEM DRUGS,M
"clioquinol, combinations",P01AA52
epinastine,R06AX24
dasiprotimut-T,L03AX19
BCG vaccine,L03AX03
gestrinone,G03XA02
theophylline and adrenergics,R03DB04
alendronic acid,M05BA04
macrogol,A06AD15
"rubella, live attenuated",J07BJ01
"senna glycosides, combinations",A06AB56
dexamethasone,H02AB02
rose bengal sodium,S01JA02
ditazole,B01AC01
isocarboxazid,N06AF01
Paramagnetic contrast media,V08CA
conjugated estrogens and bazedoxifene,G03CC07
gadobenic acid,V08CA08
raltegravir,J05AX08
iomeprol,V08AB10
droxypropine,R05DB17
hemophilus influenzae B and hepatitis B,J07CA08
tizanidine,M03BX02
triclosan,D08AE04
epinephrine,B02BC09
ixabepilone,L01DC04
Psoralens for systemic use,D05BA
lansoprazole,A02BC03
rhenium (186Re) sulfide colloid,V10AX05
OTHER HEMATOLOGICAL AGENTS in ATC,B06
simvastatin and fenofibrate,C10BA04
mebhydrolin,R06AX15
megestrol and ethinylestradiol,G03AA04
bendazac,S01BC07
cyproheptadine,R06AX02
Esters of benzoic acid for local anesthesia,N01BC
ticlatone,D01AE08
miconazole,G01AF04
aluminium phosphate,A02AB03
digitalis antitoxin,V03AB24
isoprenaline,R03AB02
dipivefrine,S01EA02
dihexyverine,A03AA08
kebuzone,M01AA06
dydrogesterone and estrogen,G03FA14
"Halogenated hydrocarbons, general anesthetics",N01AB
OTHER ANABOLIC AGENTS in ATC,A14B
disopyramide,C01BA03
ornithine oxoglurate,A05BA06
trilostane,H02CA01
dexlansoprazole,A02BC06
idursulfase,A16AB09
Emergency contraceptive drugs,G03AD
fluciclovine (18F),V09IX12
flecainide,C01BC04
Dopa and dopa derivatives,N04BA
"LIPID MODIFYING AGENTS, COMBINATIONS",C10B
"Fluoroquinolone antiinfectives, ophthalmologic",S01AE
ALLERGENS,V01A
Other ophthalmological diagnostic agents in ATC,S01JX
cyclofenil,G03GB01
Corticosteroids and antiinfectives in combination,S02CA
acetylglycinamide chloral hydrate,N05CC03
Other respiratory system diagnostic radiopharmaceuticals in ATC,V09EX
inotuzumab ozogamicin,L01XC26
fentanyl,N01AH01
mometasone,R01AD09
thonzylamine,R06AC06
stibophen,P02BX03
eflornithine,D11AX16
norethisterone and estrogen,G03FA01
amcinonide,D07AC11
lactitol,A06AD12
broxyquinoline,A07AX01
"Phenothiazines with piperidine structure, antipsychotics",N05AC
SPECIFIC ANTIRHEUMATIC AGENTS,M01C
metformin and pioglitazone,A10BD05
Oripavine derivatives analgesics,N02AE
aluminium chlorohydrate,D09AA08
quazepam,N05CD10
"Ethers chemically close to antihistamines, anticholinergic",N04AB
clofenamide,C03BA07
vinpocetine,N06BX18
oxytetracycline,S01AA04
tenecteplase,B01AD11
"rosuvastatin, perindopril and indapamide",C10BX13
tigecycline,J01AA12
nalorphine,V03AB02
miltefosine,L01XX09
Mercurial diuretics,C03BC
clevudine,J05AF12
oxolinic acid,J01MB05
"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07
"Dantrolene and derivatives, muscle relaxants, direct acting",M03CA
"Amphenicol antibacterials, systemic",J01BA
trastuzumab emtansine,L01XC14
fluocortolone and antibiotics,D07CC06
pristinamycin,J01FG01
ethadione,N03AC03
edrecolomab,L01XC01
dasabuvir,J05AP09
fipexide,N06BX05
Sympathomimetics excl. antiglaucoma preparations,S01FB
alfacalcidol,A11CC03
ferristene,V08CB02
NASAL PREPARATIONS,R01
suxamethonium,M03AB01
combinations of penicillins,J01CR50
isavuconazole,J02AC05
Pathologic Function,T046
cyanocobalamin,B03BA01
epinephrine,R01AA14
cafedrine,C01CA21
Direct factor Xa inhibitors,B01AF
paliperidone,N05AX13
imipramine oxide,N06AA03
inulin and other polyfructosans,V04CH01
opium alkaloids and derivative combination cough suppressants,R05DA20
loteprednol,S01BA14
cobamamide,B03BA04
pentoxyverine,R05DB05
insulin (pork),A10AD03
octinoxate,D02BA02
diphenhydramine,D04AA32
streptoduocin,J01GA02
salmeterol,R03AC12
meprobamate,N05BC01
Other cough suppressants in ATC,R05DB
althea root,R05CA05
Low-energy diet formulations for treatment of obesity,V06AA
minocycline,A01AB23
lamivudine and tenofovir disoproxil,J05AR12
"sofosbuvir, velpatasvir and voxilaprevir",J05AP56
quingestanol,G03AC04
methylscopolamine and psycholeptics,A03CB01
eflornithine,P01CX03
"gefarnate, combinations with psycholeptics",A02BX77
"ANGIOTENSIN II ANTAGONISTS, PLAIN",C09C
Aromatase inhibitors,L02BG
CONTRACEPTIVES FOR TOPICAL USE,G02B
procaine,N01BA02
VITAMIN B12 AND FOLIC ACID,B03B
atenolol,C07AB03
fludroxycortide and antibiotics,D07CC03
Other drugs for treatment of tuberculosis in ATC,J04AK
"isosorbide dinitrate, combinations",C01DA58
bimatoprost,S01EE03
virginiamycin,D06AX10
Guanine derivatives acting on arteriolar smooth muscle,C02DG
"palonosetron, combinations",A04AA55
"Antiallergic intestinal antiinflammatory drugs, excl. corticosteroids",A07EB
Dopamine agonists,N04BC
cefacetrile,J01DB10
triamcinolone and antiseptics,D07BB03
meloxicam,M01AC06
piribedil,N04BC08
CORTICOSTEROIDS FOR SYSTEMIC USE,H02
ataluren,M09AX03
thrombocytes,B05AX02
retinol,S01XA02
nimesulide,M02AA26
"Enzymes, hematological",B06AA
iodine (125I) CC49-monoclonal antibody,V09IX03
tenonitrozole,P01AX08
methyltestosterone,G03EK01
terconazole,G01AG02
Other respiratory system products in ATC,R07AX
cyproterone,G03HA01
chlortetracycline,D06AA02
anti-D (rh) immunoglobulin,J06BB01
Other antipsoriatics for systemic use in ATC,D05BX
Other drugs for functional gastrointestinal disorders in ATC,A03AX
calcium carbonate,A02AC01
"metipranolol, combinations",S01ED54
ipidacrine,N06DA05
alverine,A03AX08
suloctidil,C04AX19
corticorelin,V04CD04
Long-acting sulfonamide combinations,J01ED20
sulfadimidine and trimethoprim,J01EE05
inosine,D06BB05
ceftazidime,J01DD02
Anticholinesterase anti-dementia drugs,N06DA
Other cardiovascular system diagnostic radiopharmaceuticals in ATC,V09GX
midostaurin,L01XE39
nemonoxacin,J01MB08
"oxyphenonium, combinations",A03AB53
tramadol and paracetamol,N02AJ13
chlorpropamide,A10BB02
etofamide,P01AC03
bezitramide,N02AC05
cefmenoxime,J01DD05
acetyldigitoxin,C01AA01
aprindine,C01BB04
Other quinolones in ATC,J01MB
"mephenytoin, combinations",N03AB54
amsacrine,L01XX01
griseofulvin,D01BA01
clindamycin,G01AA10
Other psychostimulants and nootropics in ATC,N06BX
escitalopram,N06AB10
gastric secretion test diagnostic agents,V04CG
hidrosmin,C05CA05
ranolazine,C01EB18
prednisolone,S03BA02
clioquinol,P01AA02
NERVOUS SYSTEM DRUGS,N
triflupromazine,N05AA05
etynodiol,G03DC06
donepezil and memantine,N06DA52
micafungin,J02AX05
ipriflavone,M05BX01
dactinomycin,L01DA01
nafcillin,J01CF06
trabectedin,L01CX01
temozolomide,L01AX03
cadmium compounds,D11AC02
dibrompropamidine,D08AC01
Ergot alkaloid peripheral vasodilators,C04AE
cisatracurium,M03AC11
Bioflavonoid drugs for capillary stabilizing,C05CA
pitavastatin,C10AA08
BILE THERAPY DRUGS,A05A
"orphenadrine, combinations",M03BC51
sotalol,C07AA07
"ECTOPARASITICIDES, INCL. SCABICIDES",P03A
arbekacin,J01GB12
plerixafor,L03AX16
diphemanil and psycholeptics,A03CA08
ceftazidime and beta-lactamase inhibitor,J01DD52
pranlukast,R03DC02
"risedronic acid and calcium, sequential",M05BB02
"Amino Acid, Peptide, or Protein",T116
"iron, vitamin B12 and folic acid",B03AE01
OTHER DIAGNOSTIC RADIOPHARMACEUTICALS in ATC,V09X
betamethasone,S01CB04
denosumab,M05BX04
amikacin,S01AA21
methoxyphenamine,R03CB02
brivudine,J05AB15
otilonium bromide,A03AB06
phenibut,N06BX22
erdosteine,R05CB15
indapamide,C03BA11
acetylsalicylic acid,N02BA01
"methocarbamol, combinations excl. psycholeptics",M03BA53
technetium (99mTc) medronic acid,V09BA02
kanamycin,S01AA24
lactic acid,G01AD01
valsartan and diuretics,C09DA03
ramipril and diuretics,C09BA05
pramocaine,D04AB07
inosine pranobex,J05AX05
meglutol,C10AX05
mangafodipir,V08CA05
nitrendipine,C08CA08
etoposide,L01CB01
terfenadine,R06AX12
mannosulfan,L01AB03
methotrexate,L04AX03
streptozocin,L01AD04
estrone,G03CC04
