name,atc,inchi_key,smiles
gramicidin d,R02AB30,NDAYQJDHGXTBJL-MWWSRJDJSA-N,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO
immune globulin human,,,
anistreplase,B01AD03,,
insulin human,A10AC01,,
tenecteplase,B01AD11,,
menotropins,G03GA02,,
interferon gamma-1b,,,
"interferon alfa-2a, recombinant",L03AB04,,
desmopressin,H01BA02,NFLWUMRGJYTJIN-NXBWRCJVSA-N,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O
coagulation factor viia recombinant human,B02BD08,,
oprelvekin,L03AC02,,
palifermin,V03AF08,,
glucagon,H04AA01,,
aldesleukin,L03AC01,,
botulinum toxin type b,M03AX01,,
omalizumab,R03DX05,,
lutropin alfa,G03GA07,,
lyme disease vaccine (recombinant ospa),,,
insulin lispro,A10AC04,,
insulin glargine,A10AE54,,
collagenase clostridium histolyticum,D03BA02,,
rasburicase,V03AF07,,
cetrorelix,H01CC02,SBNPWPIBESPSIF-MHWMIDJBSA-N,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
adalimumab,L04AB04,,
somatotropin,H01AC01,,
imiglucerase,A16AB02,,
abciximab,B01AC13,,
drotrecogin alfa,B01AD10,,
gemtuzumab ozogamicin,L01XC05,,
indium in-111 satumomab pendetide,V09IB02,,
alpha-1-proteinase inhibitor,B02AB02,,
pegaspargase,L01XX24,,
interferon beta-1a,L03AB07,,
pegademase,L03AX04,,
human serum albumin,,,
eptifibatide,B01AC16,,
infliximab,L04AB02,,
follitropin,G03GA10,,
vasopressin,,,
interferon beta-1b,L03AB08,,
interferon alfacon-1,L03AB09,,
hyaluronidase (ovine),,,
insulin pork,A10AC03,,
trastuzumab,L01XC03,,
rituximab,L01XC02,,
basiliximab,L04AC02,,
muromonab,L04AA02,,
digoxin immune fab (ovine),V03AB24,,
ibritumomab tiuxetan,V10XX02,,
daptomycin,J01XX09,DOAKLVKFURWEDJ-RWDRXURGSA-N,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O
tositumomab,V10XA53,,
pegvisomant,H01AX01,,
botulinum toxin type a,M03AX01,,
pancrelipase,A09AA02,,
streptokinase,B01AD01,,
alemtuzumab,L04AA34,,
alglucerase,A16AB01,,
capromab pendetide,V09IB04,,
laronidase,A16AB05,,
ciclosporin,L04AD01,PMATZTZNYRCHOR-CGLBZJNRSA-N,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
alefacept,L04AA15,,
felypressin,,SFKQVVDKFKYTNA-DZCXQCEKSA-N,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
urofollitropin,G03GA04,,
efalizumab,L04AA21,,
choriogonadotropin alfa,G03GA08,,
antithymocyte immunoglobulin (rabbit),L04AA04,,
filgrastim,L03AA02,,
coagulation factor ix (recombinant),,,
becaplermin,D03AX06,,
agalsidase beta,A16AB03,,
octreotide,H01CB02,DEQANNDTNATYII-OULOTJBUSA-N,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O
interferon alfa-2b,L03AB05,,
abarelix,L02BX01,AIWRTTMUVOZGPW-HSPKUQOVSA-N,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
oxytocin,G02AC01,,
natalizumab,L04AA23,,
enfuvirtide,J05AX07,,
palivizumab,J06BB16,,
daclizumab,L04AC01,,
bevacizumab,L01XC07,,
technetium tc-99m arcitumomab,V09IA06,,
pyridoxal phosphate,A11HA06,NGVDGCNFYWLIFO-UHFFFAOYSA-N,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
cyanocobalamin,B03BA01,RMRCNWBMXRMIRW-WZHZPDAFSA-L,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO
tetrahydrofolic acid,,MSTNYGQPCMXVAQ-KIYNQFGBSA-N,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
histidine,,HNDVDQJCIGZPNO-YFKPBYRVSA-N,N[C@@H](CC1=CN=CN1)C(O)=O
ademetionine,A16AA02,MEFKEPWMEQBLKI-AIRLBKTGSA-N,[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O
pyruvic acid,,LCTONWCANYUPML-UHFFFAOYSA-N,CC(=O)C(O)=O
l-phenylalanine,,COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](CC1=CC=CC=C1)C(O)=O
biotin,A11HA05,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
choline,,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
l-lysine,B05XB03,KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(O)=O
l-arginine,B05XB01,ODKSFYDXXFIFQN-BYPYZUCNSA-N,N[C@@H](CCCNC(N)=N)C(O)=O
ascorbic acid,G01AD03,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
spermine,,PFNFFQXMRSDOHW-UHFFFAOYSA-N,NCCCNCCCCNCCCN
aspartic acid,,CKLJMWTZIZZHCS-REOHCLBHSA-N,N[C@@H](CC(O)=O)C(O)=O
ornithine,A05BA06,AHLPHDHHMVZTML-BYPYZUCNSA-N,NCCC[C@H](N)C(O)=O
l-glutamine,A16AA03,ZDXPYRJPNDTMRX-VKHMYHEASA-N,N[C@@H](CCC(N)=O)C(O)=O
adenosine phosphate,,UDMBCSSLTHHNCD-KQYNXXCUSA-N,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
alpha-linolenic acid,,DTOSIQBPPRVQHS-PDBXOOCHSA-N,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
serine,,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(O)=O
methionine,V03AB26,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(O)=O
tyrosine,,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
calcitriol,D05AX03,GMRQFYUYWCNGIN-NKMMMXOESA-N,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
lutein,,KBPHJBAIARWVSC-RGZFRNHPSA-N,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
cystine,,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
succinic acid,,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(=O)CCC(O)=O
riboflavin,A11HA04,AUNGANRZJHBGPY-SCRDCRAPSA-N,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
n-acetylglucosamine,,MBLBDJOUHNCFQT-LXGUWJNJSA-N,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
glutamic acid,A09AB01,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(O)=O)C(O)=O
glutathione,V03AB32,RWSXRVCMGQZWBV-WDSKDSINSA-N,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
phosphatidyl serine,,UNJJBGNPUUVVFQ-ZJUUUORDSA-N,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O
glycine,B05CX03,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O
calcifediol,A11CC06,JWUBBDSIWDLEOM-DTOXIADCSA-N,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
pyridoxal,,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(CO)C(C=O)=C1O
creatine,,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(O)=O)C(N)=N
l-leucine,,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(O)=O
l-tryptophan,N06AX02,QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
l-cysteine,,XUJNEKJLAYXESH-REOHCLBHSA-N,N[C@@H](CS)C(O)=O
thiamine,A11DA01,JZRWCGZRTZMZEH-UHFFFAOYSA-N,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
ergocalciferol,A11CC01,MECHNRXZTMCUDQ-RKHKHRCZSA-N,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
dihomo-gamma-linolenic acid,,HOBAELRKJCKHQD-QNEBEIHSSA-N,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
l-citrulline,,RHGKLRLOHDJJDR-BYPYZUCNSA-N,N[C@@H](CCCNC(N)=O)C(O)=O
l-threonine,,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(O)=O
nadh,,BOPGDPNILDQYTO-NNYOXOHSSA-N,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
folic acid,B03AE02,OVBPIULPVIDEAO-LBPRGKRZSA-N,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
icosapent,,JAZBEHYOTPTENJ-JLNKQSITSA-N,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
l-alanine,,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(O)=O
l-valine,,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(O)=O
vitamin a,V04CB01,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
vitamin e,,GVJHHUAWPYXKBD-IEOSBIPESA-N,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
pyridoxine,J04AM08,LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=C(O)C(CO)=C(CO)C=N1
lipoic acid,A16AX01,AGBQKNBQESQNJD-SSDOTTSWSA-N,OC(=O)CCCC[C@@H]1CCSS1
isoleucine,,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@H](N)C(O)=O
aspartame,,IAOZJIPTCAWIRG-QWRGUYRKSA-N,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
cholecalciferol,M05BB09,QYSXJUFSXHHAJI-YRZJJWOYSA-N,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
menadione,B02BA02,MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)C2=CC=CC=C2C1=O
atp,,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
proline,,ONIBWKKTOPOVIA-BYPYZUCNSA-N,OC(=O)[C@@H]1CCCN1
adenine,,GFFGJBXGBJISGV-UHFFFAOYSA-N,NC1=C2NC=NC2=NC=N1
asparagine,,DCXYFEDJOCDNAF-REOHCLBHSA-N,N[C@@H](CC(N)=O)C(O)=O
pravastatin,C10AA03,TUZYXOIXSAXUGO-PZAWKZKUSA-N,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
fluvoxamine,N06AB08,CJOFXWAVKWHTFT-XSFVSMFZSA-N,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
valsartan,C09DX05,ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
ramipril,C09BX03,HDACQVRGBOVJII-JBDAPHQKSA-N,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
masoprocol,L01XX10,HCZKYJDFEPMADG-TXEJJXNPSA-N,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
flunisolide,R01AD04,XSFJVAJPIHIPKU-XWCQMRHXSA-N,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
baclofen,M03BX01,KPYSYYIEGFHWSV-UHFFFAOYSA-N,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
amphetamine,N06BA01,KWTSXDURSIMDCE-UHFFFAOYSA-N,CC(N)CC1=CC=CC=C1
pentagastrin,V04CG04,NEYNJQRKHLUJRU-DZUOILHNSA-N,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
nicotine,N07BA01,SNICXCGAKADSCV-JTQLQIEISA-N,CN1CCC[C@H]1C1=CN=CC=C1
cevimeline,N07AX03,WUTYZMFRCNBCHQ-LHIURRSHSA-N,CC1O[C@@]2(CS1)CN1CCC2CC1
lorazepam,N05BA56,DIWRORZWFLOCLC-UHFFFAOYSA-N,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
esmolol,C07AB09,AQNDDEOPVVGCPG-UHFFFAOYSA-N,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
bortezomib,L01XX32,GXJABQQUPOEUTA-RDJZCZTQSA-N,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
ethchlorvynol,N05CM08,ZEHYJZXQEQOSON-AATRIKPKSA-N,CCC(O)(\C=C\Cl)C#C
carbidopa,,TZFNLOMSOLWIDK-JTQLQIEISA-N,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
phentermine,A08AA01,DHHVAGZRUROJKS-UHFFFAOYSA-N,CC(C)(N)CC1=CC=CC=C1
indecainide,,UCEWGESNIULAGX-UHFFFAOYSA-N,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
tramadol,N02AJ13,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
vidarabine,J05AB03,OIRDTQYFTABQOQ-UHTZMRCNSA-N,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
betaxolol,S01ED02,NWIUTZDMDHAVTP-UHFFFAOYSA-N,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
fluconazole,J01RA07,RFHAOTPXVQNOHP-UHFFFAOYSA-N,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
troglitazone,A10BG01,GXPHKUHSUJUWKP-UHFFFAOYSA-N,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
oseltamivir,J05AH02,VSZGPKBBMSAYNT-RRFJBIMHSA-N,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
erythromycin,J01FA01,ULGZDMOVFRHVEP-RWJQBGPGSA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
hydroxocobalamin,B03BA53,YOZNUFWCRFCGIH-WZHZPDAFSA-K,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
caffeine,R03DA20,RYYVLZVUVIJVGH-UHFFFAOYSA-N,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
succinylcholine,M03AB01,AXOIZCJOOAYSMI-UHFFFAOYSA-N,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
sildenafil,G01AE10,BNRNXUUZRGQAQC-UHFFFAOYSA-N,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1
dofetilide,C01BD04,IXTMWRCNAAVVAI-UHFFFAOYSA-N,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
pyrimethamine,P01BD01,WKSAUQYGYAYLPV-UHFFFAOYSA-N,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
reserpine,C02LA51,QEVHRUUCFGRFIF-MDEJGZGSSA-N,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
azithromycin,J01RA07,MQTOSJVFKKJCRP-BICOPXKESA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
ticlopidine,B01AC05,PHWBOXQYWZNQIN-UHFFFAOYSA-N,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
trospium,A03DA06,OYYDSUSKLWTMMQ-JKHIJQBDSA-N,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
adapalene,D10AD03,LZCDAPDGXCYOEH-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
midodrine,C01CA17,PTKSEFOSCHHMPD-UHFFFAOYSA-N,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
remikiren,C09XA01,UXIGZRQVLGFTOU-VQXQMPIVSA-N,[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1
pantoprazole,A02BD11,IQPSEEYGBUAQFF-UHFFFAOYSA-N,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
torasemide,C03CA04,NGBFQHCMQULJNZ-UHFFFAOYSA-N,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
citalopram,N06AB04,WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
eletriptan,N02CC06,PWVXXGRKLHYWKM-LJQANCHMSA-N,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
bethanidine,C02CC01,NIVZHWNOUVJHKV-UHFFFAOYSA-N,CN\C(NCC1=CC=CC=C1)=N/C
moxifloxacin,S01AE07,FABPRXSRWADJSP-MEDUHNTESA-N,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
oxyphenonium,A03AB53,GFRUPHOKLBPHTQ-UHFFFAOYSA-N,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
nelfinavir,J05AE04,QAGYKUNXZHXKMR-HKWSIXNMSA-N,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
isoetarine,R03CC06,HUYWAWARQUIQLE-UHFFFAOYSA-N,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
glimepiride,A10BD04,WIGIZIANZCJQQY-RUCARUNLSA-N,[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1
diflorasone,D07AC10,WXURHACBFYSXBI-XHIJKXOTSA-N,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
indinavir,J05AE02,CBVCZFGXHXORBI-PXQQMZJSSA-N,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
